Arabic	Latin	ID	Note	修正・調整
أبو بكر (صهر أخيه)	Abū Bakr	TMP-P-000779	出現: D02921(「صهر أخي أبي بكر」)。原文の係り受けが両義的=要判断§D-4	B51新規発行
البدر حسن بن محب الدين الطرابلسي	al-Badr Ḥasan b. Muḥibb al-Dīn al-Ṭarābulusī	TMP-P-000780	出現: D02925(816年以降のアレクサンドリア副知事職の後任)。corpus本伝未特定	B51新規発行
هجان بن محمد بن مسعود	Hajjān b. Muḥammad b. Masʿūd	TMP-P-000781	出現: D02927(ヤンブー・アミール職の前任)。息子سبع=AIND-D03068・مقدم=AIND-D09996は立項あり。本人本伝未特定	B51新規発行
دقماق (نائب القدس)	Duqmāq	TMP-P-000782	出現: D02930(نظر الحرمين+نيابة القدسの前任)。⚠歴史家ابن دقماق=AIND-D00268とは別実体。corpus本伝未特定	B51新規発行
جانبك نائب جدة	Jānibak nāʾib Jidda	TMP-P-000783	出現: D02938(主人。「كان مولى لنائبها جانبك」)。⚠候補AIND-D02369(جانبك الظاهري جقمق…شاد جدة)は職名不一致=同定不能。要判断§D-5	B51新規発行
نور الدين علي بن داود الصيرفي الحنفي	Nūr al-Dīn ʿAlī b. Dāwūd al-Ṣayrafī al-Ḥanafī	TMP-P-000784	出現: D02939(「والد نور الدين علي الحنفي」=息子)。corpusには転送見出し「داود الصيرفي والد النور على القاضي . في ابن إبراهيم」(D02939への転送)があるのみ=本伝未特定	B51新規発行。Gemini流用の汚染番号TMP-P-000093(=AIND-D0035の兄弟نور الدين علي)を破棄
أبو الفتح بن إسماعيل الزمزمي	Abū al-Fatḥ b. Ismāʿīl al-Zamzamī	TMP-P-000785	出現: D02942(兄弟)。メッカのザムザミー家。corpus本伝未特定	B51新規発行
سيف أرغد	Sayf Arghad	TMP-P-000786	出現: D02946(داود بن سيف أرغدの父)。エチオピア皇帝サイファ・アルアド(Sayfa Arʿad)に比定されるがwd実item未照合=wd不付与。要判断§D-6	B51新規発行
تدرس	Tadrus	TMP-P-000787	出現: D02946(息子・エチオピア支配者職の後継)。テウォドロス1世に比定されるがwd実item未照合=wd不付与。要判断§D-6	B51新規発行
أبو الغيث محمد بن عبد الله بن الصائغ	Abū al-Ghayth Muḥammad b. ʿAbd Allāh b. al-Ṣāʾigh	TMP-P-000788	出現: D02959(師。「سمع من أبي الغيث محمد ابن عبد الله بن الصائغ وغيره بعض الصحيح أنا به الحجار」)。corpus本伝未特定	B52新規発行
هبة بن أحمد	Hiba b. Aḥmad	TMP-P-000789	出現: D02963(رفيق=同伴者。「الآتي」)。⚠AIND-D09987 مقبل بن هبة بن أحمد بن سنان は別実体の父。corpus本伝未特定	B52新規発行
الزين عبد الرحمن القلقشندي	al-Zayn ʿAbd al-Raḥmān al-Qalqashandī	TMP-P-000790	出現: D02982(伝聞者。「حكى الزين عبد الرحمن القلقشندي عن أبيه الشمس」=Pattern A)。⚠既登録のقلقشندي諸項(TMP-P-000115/000116・AIND-D10816)とは別実体	B52新規発行
الشمس القلقشندي	al-Shams al-Qalqashandī	TMP-P-000791	出現: D02982(原情報源。TMP-P-000790の父)。corpus本伝未特定	B52新規発行
يحيى بن أبي البركات بن ظهيرة	Yaḥyā b. Abī al-Barakāt b. Ẓuhayra	TMP-P-000792	出現: D02983(弟子。本項が彼のمؤدب)。メッカのظهيرة家。corpus本伝未特定	B52新規発行
علي (والد راجح النشيط)	ʿAlī	TMP-P-000793	出現: D02987(راجح بن عليの父)。ナサブ要素のみ・corpus独立立項なし。⚠TMP-P-000772(D02784の父علي)とも別実体	B52新規発行。Gemini流用の汚染番号TMP-P-000530を破棄
الجمالي يوسف بن كاتب جكم ناظر الخاص	al-Jamālī Yūsuf b. Kātib Jakam nāẓir al-khāṣṣ	TMP-P-000794	出現: D02991(الكوم الأبيضのスーフィー施設の創建者)。AIND-D03192/D03276(マムルーク)・AIND-D01712(息子الشهاب أحمد)・D01148/D02536に頻出。本伝未特定=同定継続	B52新規発行
الناسخ	al-Nāsikh	TMP-P-000795	出現: D02995(رجب بن الناسخの父)。呼称のみ・corpus独立立項なし	B53新規発行
ابنة صهر أخي السخاوي الوسط	Ibnat ṣihr akhī al-Sakhāwī al-awsaṭ	TMP-P-000796	出現: D02995(妻。名不詳・のち離縁)。女性	B53新規発行
أخو السخاوي الوسط	Akhū al-Sakhāwī al-awsaṭ	TMP-P-000797	出現: D02995(「أخي الوسط」)。サハーウィー(wd:Q4120128)の次兄・名不詳。corpus本伝未特定	B53新規発行
علي بن رضوان القاهري	ʿAlī b. Riḍwān al-Qāhirī	TMP-P-000798	出現: D03004(父。「تكسب بالشهادة كأبيه」=同じく公証人)。孫أحمد=AIND-D00734は立項あり。本人本伝未特定	B53新規発行
الجمال البدراني	al-Jamāl al-Badrānī	TMP-P-000799	出現: D03004(サバト(伝承目録)の編者。「وجد له بعض الاسمعة في ثبت الجمال البدراني」)。corpus本伝未特定	B53新規発行
إبراهيم الأدكاوي	Ibrāhīm al-Adkāwī	TMP-P-000800	出現: D03010(師。「أخذ عن بلديه الشيخ إبراهيم」)。甥の項AIND-D07114が本項を「تلميذ إبراهيم الأدكاوي」と明記し確定。AIND-D01087(الشيخ إبراهيم الأتكاوي الماضي)・D07958(تلقن الذكر من إبراهيم الأدكاوي)にも言及。本伝未特定=同定継続	B53新規発行
الشمس بن سلامة	al-Shams b. Salāma	TMP-P-000801	出現: D03010(弟子。「صحبه جماعة كالزيني زكريا القاضي والشمس بن سلامة」)。⚠メッカのابن سلامة家(D02520/D05027/D06864)とは地域・世代が合わず別実体	B53新規発行
ابن رمضان اللقاني	Ibn Ramaḍān al-Laqānī	TMP-P-000802	出現: D03012(息子・名不詳。「زوج ابنه لابنة يحيى」)。初版はactive=""の空relationだったため実体化	B53新規発行
يحيى ابن شيخنا الرشيدي	Yaḥyā b. shaykhinā al-Rashīdī	TMP-P-000803	出現: D03012(嫁の父)。「شيخنا الرشيدي」はAIND-D00907(الشهاب أحمد بن عبد الله…بن لاجين الرشيدي)が有力だが同家系に複数候補あり未確定。息子يحيى本人のcorpus本伝なし	B53新規発行
ابنة يحيى ابن شيخنا الرشيدي	Ibnat Yaḥyā b. shaykhinā al-Rashīdī	TMP-P-000804	出現: D03012(息子の妻・名不詳)。父=TMP-P-000803。女性	B53新規発行
أحمد (والد رميثة الهذلي)	Aḥmad	TMP-P-000805	出現: D03015(رميثة بن أحمدの父)。ナサブ要素のみ・corpus独立立項なし	B53新規発行
أمير المحمل	Amīr al-maḥmal	TMP-O-00158	出現: D02268(「وحج أمير المحمل في بعض السنين」)。マフマル(巡礼隊の輿)を統率する職。既存 أمير الحج=TMP-O-00134 と近縁だが同一語ではないため分離発行(B28裁定「広義で近い程度ではエイリアス統合しない」に準拠)	B49新規発行
أمير العرب	Amīr al-ʿArab	TMP-O-00159	出現: D02753(حسين بن نعير بن حيار أمير العرب)。シリア砂漠アラブ部族連合の首長職(آل فضل家の世襲職)。汎用のشيخ عرب=TMP-O-00095 より上位の公認職のため分離発行	B49新規発行
نظر الأهراء	Naẓar al-ahrāʾ	TMP-O-00160	出現: D02771(「ولي نظر الاهراء والمواريث والدولة」)。穀倉(أهراء)監督職。cf. نظر الدولة=TMP-O-00024 / ناظر المواريث=TMP-O-00076	B50新規発行
رأس أشراف آل أبي نمى	Raʾs ashrāf Āl Abī Numay	TMP-O-00161	出現: D02774(「كان رأس أشراف آل أبي نمى بعد أبيه」)。メッカのأبو نمى家シャリーフ層の筆頭職	B50新規発行
مباشرة الاسطبل	Mubāsharat al-iṣṭabl	TMP-O-00162	出現: D02779(「باشر الاسطبل وغيره」)。厩舎(اصطبل)の管理職	B50新規発行
صاحب (البلد)	Ṣāḥib	TMP-O-00163	出現: D02781(صاحب آمد/صاحب ماردين)・D02946(صاحب الحبشة)。「صاحب+地名」形式の在地支配者職。対象はplaceNameで表現する。cf. أمير=TMP-O-00014	B50新規発行
إمام مقام الشافعي	Imām maqām al-Shāfiʿī	TMP-O-00164	出現: D02792(حمزة إمام مقام الشافعي)。カイロ・カラーファのシャーフィイー廟(مقام الشافعي)のイマーム職。AIND-D04077にも同一人物への言及あり	B50新規発行
معلم الدلالين	Muʿallim al-dalālīn	TMP-O-00165	出現: D02938(「معلم الدلالين بجدة」)。ジッダの仲買人(دلال)組合の頭領職	B51新規発行
صيرفي المفرد	Ṣayrafī al-mufrad	TMP-O-00166	出現: D02939(「كان صيرفي المفرد والدولة معا」)。スルターン私庫(الديوان المفرد)付き両替・出納官	B51新規発行
صيرفي الدولة	Ṣayrafī al-dawla	TMP-O-00167	出現: D02939(同上、のち本職のみに限定)。国庫(الدولة)付き両替・出納官。cf. نظر الدولة=TMP-O-00024	B51新規発行
شاد الشؤن	Shādd al-shuʾūn	TMP-O-00168	出現: D02978(「تنقل حتى صار شاد الشؤن」)。宮廷諸事の監督職。cf. شاد|شاد الشربخاناه=TMP-O-00131	B52新規発行
أحد الجمدارية	Aḥad al-jamdāriyya	TMP-O-00169	出現: D02981(دينار الطواشي أحد الجمدارية)。衣装係(جمدار)隊の一員。cf. رأس نوبة الجمدارية=TMP-O-00100(隊長職)・نائب رأس نوبة الجمدارية=TMP-O-00125	B52新規発行
شيخ صوفية	Shaykh ṣūfiyya	TMP-O-00170	出現: D02991(「شيخ صوفية المكان الذي بناه الجمالي…」)。ハーンカー/ザーウィヤのスーフィー団長職。cf. صوفي=wd:Q2892720(団員)	B52新規発行
قارئ الجوق	Qāriʾ al-jawq	TMP-O-00171	出現: D03004(「أحد قراء الجوق المجتهدين في التحصيل」)。合唱朗誦隊(الجوق=TMP-I-00068)の朗誦者。cf. مقرئ=wd:Q3595924	B53新規発行
كاتب الوصولات	Kātib al-wuṣūlāt	TMP-O-00172	出現: D03004(「كتب الوصولات بالخشابية」)。受領書(وصولات)作成の書記職	B53新規発行
المهتار	al-Mihtār	TMP-O-00173	出現: D03013(رمضان المنفلوطي ثم القاهري المهتار)。ペルシア語mihtar由来の給仕長・部署長職。cf. AIND-D00386(إبراهيم الاصفاني المهتار)	B53新規発行
المتكلم في الكسوة	al-Mutakallim fī al-kiswa	TMP-O-00174	出現: D03013(「صار يتكلم في الكسوة وغيرها」)。カアバのキスワ(被覆)関係を管掌する職	B53新規発行
الخفير	al-Khafīr	TMP-O-00175	出現: D03015(「كان من أعيان الخفراء」・شهرة「الخفير」)。隊商路・巡礼路の護衛職	B53新規発行
تحت الريح	Taḥt al-rīḥ	TMP-L-00190	出現: D02749(「دخل بلاد العجم والهند وتحت الريح」)。「風の下」=東南アジア海域(マレー・スマトラ圏)の総称。cf. الهند=TMP-L-00039 / بلاد العجم=TMP-L-00004	B49新規発行
بدر	Badr	TMP-L-00191	出現: D02763(埋葬地。「فحمل إلى بدر فدفن بها」)。ヒジャーズ、マディーナ南西の要衝	B49新規発行
سروعة	Sarūʿa	TMP-L-00192	出現: D02763(「حسين شيخ سروعة وابن شيخها」)。ヒジャーズの在地共同体名	B49新規発行
قلعة الجبل	Qalʿat al-Jabal	TMP-L-00193	出現: D02783(「مات مسجونا بقلعة الجبل」)。カイロ城塞。⚠ID-Master既登録のالقلعة=TMP-L-00006は文脈依存の汎称のため、固有名「قلعة الجبل」として分離発行。wd:Q1988240の採否は要判断§D-8	B50新規発行
وادي مر	Wādī Marr	TMP-L-00194	出現: D02786(没地。「مات…بوادي مر وحمل إلى مكة」)。メッカ北方のワーディー(مر الظهران)	B50新規発行
سنجار	Sinjār	TMP-L-00195	出現: D02798(「وولي إمرة سنجار للأشرف شعبان」)。ジャズィーラの都市。ID-Masterに nisbah السنجاري=TMP-N-01332 の登録はあるが地名未登録	B50新規発行
البلاد الشامية	al-Bilād al-Shāmiyya	TMP-L-00196	出現: D02929(「نفاه الظاهر خشقدم إلى البلاد الشامية」)。シリア地方の総称。cf. دمشق=gn:170654	B51新規発行
حرمين | مكة والمدينة	Ḥaramayn | Makka wa-l-Madīna	TMP-L-00197	出現: D02954(「وأحسن لفقراء الحرمين」)。二聖都(マッカ+マディーナ)を一体として指す表現。⚠既登録のحرمين=TMP-L-00034 は「القدس والخليل」(エルサレム+ヘブロン)であり別実体	B51新規発行
الحدبة	al-Ḥadba	TMP-L-00198	出現: D02965(没地。「قتل بالحدبة في صفر سنة ست وأربعين」)。メッカ近郊。同一事件はAIND-D01022にも記録	B52新規発行
الكوم الأبيض	al-Kawm al-Abyaḍ	TMP-L-00199	出現: D02991(「المكان الذي بناه الجمالي ناظر الخاص بالكوم الأبيض」)。エジプトの地名	B52新規発行
بني غالب	Banī Ghālib	TMP-L-00200	出現: D03013(出生地。「ولد ببني غالب قرية من عمل منفلوط」)。マンファルート管区の村。cf. منفلوط=TMP-L-00089	B53新規発行
منى	Minā	TMP-L-00201	出現: D03015(没地。「مات في أيام منى سنة تسع عشرة」)。メッカ近郊の巡礼地。gn照合は未実施のためTMPで発行(要判断§D-8)	B53新規発行
سولة من نخلة اليمانية	Sawla min Nakhla al-Yamāniyya	TMP-L-00202	出現: D03015(居住地。「يسكنون سولة من نخلة اليمانية」)。メッカ東方ナフラ・ヤマーニーヤ圏の集落	B53新規発行
بلاد الشرق	Bilād al-Sharq	TMP-L-00203	出現: D03018(没地・埋葬地。「قتل في المعركة…ببلاد الشرق ودفن هناك」)。メッカから東方約8日行程の地域の総称	B53新規発行
المدرسة المسرورية	al-Madrasa al-Masrūriyya	TMP-I-00097	出現: D02773(「ودرس بالمسرورية」)。ダマスクスのマドラサ	B50新規発行
المدرسة المجاهدية	al-Madrasa al-Mujāhidiyya	TMP-I-00098	出現: D02773(「ودرس بـ…المجاهدية」)。ダマスクスのマドラサ。⚠カイロのالمجاهدية الجوانية(AIND-D07166)とは別	B50新規発行
القزارية	al-Qazzāriyya	TMP-I-00099	出現: D02799(「حيدر برهان الدين مدرس القزارية بشيراز」)。シーラーズのマドラサ	B50新規発行
الخاتونية	al-Khātūniyya	TMP-I-00100	出現: D02919(「الصوفي بالخاتونية」)。ダマスクスのハーンカー/マドラサ	B51新規発行
الخشابية	al-Khashshābiyya	TMP-I-00101	出現: D03004(「كتب الوصولات بالخشابية」)。カイロの機関(ワクフ事務所)	B53新規発行
المدرسة الجمالية (بمكة)	al-Madrasa al-Jamāliyya (Makka)	TMP-I-00102	出現: D03014(「بواب المدرسة الجمالية بمكة」)。⚠カイロのالخانقاه الجمالية=TMP-I-00019とは別実体	B53新規発行
الخصال المكفرة	al-Khiṣāl al-mukaffira	TMP-T-00127	出現: D02755(「سمع على شيخنا في سنة خمس وثلاثين الخصال المكفرة」)。イブン・ハジャル門下で聴聞された書(الخصال المكفرة للذنوب المتقدمة والمتأخرة)	B49新規発行
الكافيتان	al-Kāfiyatān	TMP-T-00128	出現: D02961(「كالكافيتين وشروحهما」)。文法学『カーフィヤ』と形態論『シャーフィヤ』の二書。⚠既登録のالكافية للزنجاني=TMP-T-00071とは指示範囲が異なるため分離発行	B52新規発行
شرح الشمسية للقطبي	Sharḥ al-Shamsiyya li-l-Quṭbī	TMP-T-00129	出現: D02961(「وشرح الشمسية للقطبي」)。クトゥブッディーン・ラーズィーによる論理学書『シャムスィーヤ』注釈	B52新規発行
السر المكتوم	al-Sirr al-Maktūm	TMP-T-00130	出現: D02996(「سمع علي بمكة في السر المكتوم وغيره」)。サハーウィーがメッカで講じた書	B53新規発行
ثبت الجمال البدراني	Thabat al-Jamāl al-Badrānī	TMP-T-00131	出現: D03004(「وجد له بعض الاسمعة في ثبت الجمال البدراني」)。伝承目録(サバト)。編者=TMP-P-000799	B53新規発行
