Arabic	Latin	ID	Note	修正・調整
الجامع الجديد بمصر | الجامع الجديد	al-Jāmiʿ al-Jadīd bi-Miṣr	TMP-I-00089	出現: D03528(مشيخة الصوفية職)。ミスル(フスタート、gn:352261)の新モスク(الجامع الجديد الناصري)	B42新規発行
جامع المغاربة	Jāmiʿ al-Maghāriba	TMP-I-00090	出現: D03555(فراش職)。所在は明示なし(伝主はالقاهريだが聴聞はマディーナ=要確認)。stateのplaceName(القاهرة)は非明示につき除去済	B43新規発行
مقبرة الباب الصغير	Maqbarat al-Bāb al-Ṣaghīr	TMP-I-00091	出現: D03568(埋葬地)。ダマスクスのバーブ・アッ=サギール墓地。المعلاة(Q42004=Institution登録)と同型	B43新規発行
طنبذى	Ṭanbadhā	TMP-L-00178	出現: D02673(نزيل طنبذي من الصعيد)。上エジプトの村。nisbah=الطنبذي(N-00381)関連。GeoNames照合不可	B39新規発行
قعيقعان	Quʿayqiʿān	TMP-L-00179	出現: D02681(دار بقعيقعان)。マッカの山・街区(アブー・クバイスの対)。L55279(جبل قعيقعان)・L85846にも言及。GeoNames ID照合不可(実在はWebSearch確認済)	B39新規発行
منية غمر	Minyat Ghamr	TMP-L-00180	出現: D02683(転居先)。ナイル・デルタの町(現ميت غمر=Mit Ghamr)。L16548・L28304にも言及。wd:Q337123(Mit Ghamr)が対応候補(WebSearch確認)。GeoNames IDは照合不可	B39新規発行
باب البرقية	Bāb al-Barqiyya	TMP-L-00181	出現: D02698(تربة所在の「ناحية باب البرقية」)。カイロ東門・北東墓地方面の街区	B40新規発行
حصن حب	Ḥiṣn Ḥubb	TMP-L-00182	出現: D03503(領地)。イエメンの山城(جبل حب)。GeoNames照合不可	B42新規発行
برما	Birmā	TMP-L-00183	出現: D03538(nisbah البرماوي=N-00096の由来地としての居住)。エジプト・ガルビーヤの村。GeoNames照合不可	B43新規発行
وصاب	Wuṣāb	TMP-L-00184	出現: D03546(اعتقده أهل وصاب)。イエメンの山地地方。nisbah=الوصابي(N-01714)関連。GeoNames照合不可	B43新規発行
عازب	ʿĀzib	TMP-L-00185	出現: D03548(死没地。ハッジ帰路のイエメン方面の地)。GeoNames照合不可	B43新規発行
المنيبيع	al-Munaybiʿ	TMP-L-00186	出現: D03554(死没地「المنيبيع من دمشق」)。ダマスクス近郊(グータ)の村。GeoNames照合不可	B43新規発行
اللفج	al-Lafj	TMP-L-00187	出現: D03547(صاحب اللفج=O-00152)。未詳地(イエメン方面か)。**لحجの異綴かどうかは明確でない**(Waka裁定2026-08-11: 不明の旨をnote記載の上でTMP作成・付与=確定)。GeoNames照合不可	B43新規発行
القواس	al-Qawwās	TMP-N-05487	出現: D03306(شرف القواس)。職業由来ニスバ(弓匠)。⚠person「ابن القواس」=P-000641とは別	B40新規発行
عقود المقريزي | درر العقود الفريدة	ʿUqūd al-Maqrīzī | Durar al-ʿUqūd al-Farīda	TMP-T-00122	出現: D03528(ذكره المقريزي هكذا في عقوده=Pattern A bibl)。マクリーズィーの人物録。L69863(D07023)・L30363(D02759)にも「عقوده」言及=頻出書	B42新規発行
أبو سعيد عثمان بن أحمد المريني	Abū Saʿīd ʿUthmān b. Aḥmad al-Marīnī	TMP-P-000729	出現: D03522(父、異伝B「ابن عثمان بن أحمد」をWaka裁定2026-08-11で採用・cert=low)。史実のマリーン朝アブー・サイード・ウスマーン3世(息子عبد الحق II=wd:Q307564実照合済)。父本人のwd候補=Q2688156(実照合済、注記用)。本伝なし	B42・D-9裁定(2026-08-11)に伴い新規発行
