file	AIND	12桁	type属性	repo	corpusAIND	corpus帳簿	型	転送先	見出し	corpus原文(150)	判定
REF_AIND-D00515_868023796832.xml	AIND-D00515	868023796832	LIMBO	なし		$$$	転送指示あり	#AIND-D00500	أحمد بن أحمد بن محمد بن علي بن أبي بكر بن أيوب بن درباس	أحمد بن أحمد بن محمد بن علي بن أبي بكر بن أيوب بن درباس . مضى بدون محمد في نسبه .	REF 維持
REF_AIND-D00522_756614693985.xml	AIND-D00522	756614693985	LIMBO	なし		$$$	転送指示あり	#AIND-D00516	أحمد بن أحمد بن محمد شهاب الدين الطولوني	أحمد بن أحمد بن محمد شهاب الدين الطولوني كبير المهندسين . مضى قريبا فيمن جده محمد بن علي بن عبد الله بن علي .	REF 維持
REF_AIND-D00530_713165898875.xml	AIND-D00530	713165898875	LIMBO	なし		$$$	転送指示あり	#AIND-D00524	أحمد بن أحمد بن موسى بن إبراهيم الحنبلي بن الضياء	أحمد بن أحمد الحنبلي بن الضياء ، مضى فيمن اسم جده أحمد بن موسى بن إبراهيم .	REF 維持
REF_AIND-D00535_814995211398.xml	AIND-D00535	814995211398	LIMBO	なし		$$$	転送指示あり	#AIND-D01384	أحمد بن أبي أحمد شهاب الدين المغراوي المالكي	أحمد بن أبي أحمد شهاب الدين المغراوي المالكي . يأتي في ابن محمد بن عبد الله .	REF 維持
REF_AIND-D00590_459020436725.xml	AIND-D00590	459020436725	REF	なし		$$$	転送指示あり		أحمد بن أبي بكر بن سراج البابي	أحمد بن أبي بكر بن سراج البابي . فيمن جده علي بن سراج .	REF 維持
REF_AIND-D00676_257941308831.xml	AIND-D00676	257941308831		なし		$$$	転送指示あり		أحمد بن حسن البطائحي	أحمد بن حسن البطائحي . مضى فيمن جده محمد بن سليمان .	REF 維持
REF_AIND-D00681_396051350955.xml	AIND-D00681	396051350955		なし		$$$	転送指示あり		أحمد بن الحسن العباسي الحنبلي	أحمد بن الحسن العباسي الحنبلي . مضى فيمن جده داود بن سالم .	REF 維持
REF_AIND-D00787_173421889173.xml	AIND-D00787	173421889173	reference	なし	AIND-D00787	$	転送指示あり	#AIND-D07504	أحمد بن ططر	أحمد بن ططر . كذا رأيته بهامش نسختي من الأنباء أظنه نقلا من العيني وصوابه محمد وسيأتي إن شاء الله .	REF 維持
REF_AIND-D00825_282549290706.xml	AIND-D00825	282549290706		なし		$$$	転送指示あり		أحمد بن عبد الرحمن بن عبد الناصر الزبيري . يأتي فيمن جده محمد بن عبد الناصر	أحمد بن عبد الرحمن بن عبد الناصر الزبيري . يأتي فيمن جده محمد بن عبد الناصر .	REF 維持
REF_AIND-D00841_100038346482.xml	AIND-D00841	100038346482		なし		$$$	転送指示あり		أحمد بن عبد الرحمن بن العلامة جمال الدين بن هشام . مضى أيضا فيمن جده محمد بن عبد الله بن يوسف	أحمد بن عبد الرحمن بن العلامة جمال الدين بن هشام . مضى أيضا فيمن جده محمد بن عبد الله بن يوسف .	REF 維持
REF_AIND-D00862_276308166441.xml	AIND-D00862	276308166441		なし		$$$	転送指示あり		أحمد بن عبد العزيز الشيفكي ثم الشيرازي . مضى فيمن جده أحمد	أحمد بن عبد العزيز الشيفكي ثم الشيرازي . مضى فيمن جده أحمد .	REF 維持
REF_AIND-D00864_986428999469.xml	AIND-D00864	986428999469		なし		$$$	転送指示あり		أحمد بن عبد القادر بن إبراهيم الصدر أبو البركات بن المجد المكراني . مضى في ابن إسماعيل ورأيت بخط بعضهم تسميته محمدا كأخيه	أحمد بن عبد القادر بن إبراهيم الصدر أبو البركات بن المجد المكراني الأصل المكي الشافعي . مضى في ابن إسماعيل ورأيت بخط بعضهم تسميته محمدا كأخيه .	REF 維持
REF_AIND-D00926_241046652863.xml	AIND-D00926	241046652863		なし		$$$	転送指示あり		أحمد بن عبد الله الشهاب البوصيري	أحمد بن عبد الله الشهاب البوصيري فيمن جده حسن .	REF 維持
REF_AIND-D00932_344994088904.xml	AIND-D00932	344994088904		なし		$$$	転送指示あり		أحمد بن عبد الله شهاب الدين القزويني	أحمد بن عبد الله شهاب الدين القزويني . مضى فيمن جده أحمد بن محمد بن محمد بن محمد بن يوسف .	REF 維持
REF_AIND-D00967_650154870807.xml	AIND-D00967	650154870807		なし		$$$	転送指示あり		أحمد بن عربشاه	أحمد بن عربشاه . في ابن محمد بن عبد الله بن إبراهيم .	REF 維持
REF_AIND-D00977_107793614886.xml	AIND-D00977	107793614886		なし		$$$	転送指示あり（XML 訳: 父名未記載の項で後述）		أحمد بن علي بن إبراهيم الحلبي	أحمد بن علي بن إبراهيم الحلبي ابن أخي الصوة.	REF 維持。corpus 本文喪失
REF_AIND-D00997_730542901333.xml	AIND-D00997	730542901333		なし		$$$	転送指示あり		أحمد بن علي بن أحمد النويري المالكي	37 أحمد بن علي بن أحمد النويري المالكي إمام مقام المالكية بمكة . مضى فيمن جده أحمد بن عبد العزيز بن القسم .	REF 維持
REF_AIND-D01017_381769746558.xml	AIND-D01017	381769746558		なし		$$$	転送指示あり		أحمد بن علي بن أبي راجح	57 أحمد بن علي بن أبي راجح . يأتي فيمن جده محمد بن إدريس .	REF 維持
REF_AIND-D01023_156514650261.xml	AIND-D01023	156514650261	reference	なし		$$$	転送指示あり（XML: يأتي في أحمد ابن علي بدون زيادة）	#AIND-D01104	أحمد بن علي بن الشيخ أبي العباس بن أبي الحسن		REF 維持。corpus $$$ 行は見出し行のみで本文が失われている
        القبابلي	63 أحمد بن علي بن الشيخ أبي العباس بن أبي الحسن										REF 維持
REF_AIND-D01043_476405827783.xml	AIND-D01043	476405827783		なし		$$$	転送指示あり（XML: في ابن أبي الحسن）		أحمد بن علي بن عيسى بن محمد بن عيسى الحسني السمهودي	أحمد بن علي بن عيسى بن محمد بن عيسى الحسني	REF 維持。corpus 本文喪失
REF_AIND-D01047_598900476108.xml	AIND-D01047	598900476108		なし		$$$	転送指示あり		أحمد بن علي بن قوام	أحمد بن علي بن قوام فيمن جده أبو بكر بن محمد بن قوام .#	REF 維持
REF_AIND-D01091_953252055340.xml	AIND-D01091	953252055340		なし		-	転送指示あり（مضى فيمن جده …）		أحمد بن علي بن يفتح الله		REF 維持
REF_AIND-D01093_246914484528.xml	AIND-D01093	246914484528		なし		-	転送指示あり（فيمن جده …）		أحمد بن علي بن شهاب الدين بن أبي الروس		REF 維持
REF_AIND-D01097_589882722609.xml	AIND-D01097	589882722609		なし		-	転送指示あり（فيمن جده …）		أحمد بن علي بن النقيب الحنفي		REF 維持
REF_AIND-D01156_748020566455.xml	AIND-D01156	748020566455	REF	なし		$$$	転送指示あり		أحمد بن عيسى السنباطي الحنبلي	أحمد بن عيسى السنباطي الحنبلي . في ابن محمد بن عيسى بن يوسف .	REF 維持
REF_AIND-D01163_300945508801.xml	AIND-D01163	300945508801	REF	なし		$$$	転送指示あり		أحمد بن أبي القسم بن عبد الرحمن بن محمد بن عبد الرحمن المغربي الخلوف	أحمد بن أبي القسم بن عبد الرحمن بن محمد بن عبد الرحمن المغربي الخلوف . يأتي فيمن اسم أبيه محمد قريبا .	REF 維持
REF_AIND-D01164_853494729155.xml	AIND-D01164	853494729155		なし		$$$	転送指示あり		أحمد بن أبي القسم بن محمد بن أحمد المحب النويري المكي الخطيب	أحمد بن أبي القسم بن محمد بن أحمد المحب النويري المكي الخطيب . يأتي في أحمد بن محمد .	REF 維持
REF_AIND-D01170_514225867210.xml	AIND-D01170	514225867210	REF	なし		$$$	転送指示あり		أحمد بن قرطاي	أحمد بن قرطاي . مضى في ابن علي بن قرطاي .	REF 維持
REF_AIND-D01175_827041253853.xml	AIND-D01175	827041253853		実項	AIND-D01175	$	له ذكر في（الآتي أبوه له ذكر فيه）		أحمد بن لاجين الظاهر جقمق	199 أحمد بن لاجين الظاهر جقمق الآتي أبوه له ذكر فيه .	§D-5 規約で実項。repo には既に実項 AIND-D01175 あり → LIMBO の旧 REF は不要
REF_AIND-D01234_404532234815.xml	AIND-D01234	404532234815		なし		$$$	転送指示あり		أحمد بن محمد بن أحمد بن محمد بن عبد الله الحراري	أحمد بن محمد بن أحمد بن محمد بن عبد الله الحراري . مضى فيمن جده أحمد بن أبي الفضل .	REF 維持
REF_AIND-D01258_349641378427.xml	AIND-D01258	349641378427		なし		$$$	転送指示あり		أحمد بن محمد بن أحمد الشهاب القسطلاني المكي المالكي	أحمد بن محمد بن أحمد الشهاب القسطلاني المكي المالكي . مضى فيمن جده أحمد بن حسن بن الزين محمد .	REF 維持
REF_AIND-D01260_882552867450.xml	AIND-D01260	882552867450		なし		$$$	転送指示あり		أحمد بن محمد بن أحمد بن السيف الحنبلي	أحمد بن محمد بن أحمد بن السيف الحنبلي . مضى في السين المهملة من أجداد الأب .	REF 維持
REF_AIND-D01278_255567334052.xml	AIND-D01278	255567334052	REF	なし		$$$	転送指示あり		أحمد بن محمد بن أحمد الهدوي	أحمد بن محمد بن أحمد الهدوي . مضى قريبا فيمن يلقب سواسوا .	REF 維持
REF_AIND-D01292_536820583101.xml	AIND-D01292	536820583101	REF	なし		$$$	転送指示あり		أحمد بن محمد بن أبي بكر بن سعد الله الواسطي	أحمد بن محمد بن أبي بكر بن سعد الله الواسطي . يأتي فيمن جده أبو بكر بن محمد بن سعد الله .	REF 維持
REF_AIND-D01305_918816819932.xml	AIND-D01305	918816819932		なし		-	転送指示あり（مضى فيمن جده …）		أحمد بن محمد بن أبي بكر بن محمد القسطلاني		REF 維持
REF_AIND-D01308_881147775713.xml	AIND-D01308	881147775713		なし		-	転送指示あり（مضى فيمن جده …）		أحمد بن النجم محمد بن أبي بكر الشهاب المرجاني الأصل المكي		REF 維持
REF_AIND-D01310_417366805220.xml	AIND-D01310	417366805220		なし		-	転送指示あり（مضى فيمن جده …）		أحمد بن محمد بن حذيفة المسيري		REF 維持
REF_AIND-D01370_743046122342.xml	AIND-D01370	743046122342		なし		$$$	転送指示あり		أحمد بن محمد بن عبد الله بن حمام	أحمد بن محمد بن عبد الله بن حمام . مضى فيمن جده عبد الله بن إبراهيم .	REF 維持
REF_AIND-D01380_810909961089.xml	AIND-D01380	810909961089		なし	AIND-D01380	$	転送指示あり		أحمد بن محمد بن عبد الله التاج السكندري بن الخراط	أحمد بن محمد بن عبد الله التاج السكندري بن الخراط . فيمن جده أحمد بن عبد الله بن عمر .	REF 維持
REF_AIND-D01382_257354107783.xml	AIND-D01382	257354107783		なし		$$$	転送指示あり（XML 訳: 祖父 محمد の項で後述）		أحمد بن محمد بن عبد الله الشهاب بن الناصح	أحمد بن محمد بن عبد الله الشهاب بن الناصح .	REF 維持。corpus 本文喪失
REF_AIND-D01400_114965875604.xml	AIND-D01400	114965875604		なし		$$$	転送指示あり（في من جده الياس）		أحمد بن محمد بن عثمان المزملاتي	أحمد بن محمد بن عثمان المزملاتي . في من جده الياس .	REF 維持
REF_AIND-D01410_101904812982.xml	AIND-D01410	101904812982	REF	なし		$$$	転送指示あり		أحمد بن محمد بن علي بن تقي	أحمد بن محمد بن علي بن تقي . فيمن جده أحمد بن علي .	REF 維持
REF_AIND-D01469_723559386188.xml	AIND-D01469	723559386188		なし		$$$	転送指示あり		أحمد بن محمد بن الفلاح	أحمد بن محمد بن الفلاح . يأتي قريبا في ابن محمد بن اللاح [= AIND-D01479] .	REF 維持
REF_AIND-D01471_595326930005.xml	AIND-D01471	595326930005		なし		$$$	転送指示あり		أحمد بن محمد بن فهيد المغيربي	أحمد بن محمد بن فهيد المغيربي . يأتي فيمن لم يسم جده [= AIND-D01598] .	REF 維持
REF_AIND-D01478_658648337501.xml	AIND-D01478	658648337501		なし		$$$	転送指示あり		محمد بن أحمد بن عمر بن كحيل	أحمد بن محمد بن كميل . صوابه محمد بن أحمد بن عمر بن كحيل [= AIND-D06785] .	REF 維持
REF_AIND-D01555_327793249546.xml	AIND-D01555	327793249546		なし		$$$	転送指示あり		أحمد بن محمد بن محمد الأبدي	أحمد بن محمد بن محمد الأبدي . فيمن جده محمد بن عبد الرحمن بن علي بن أحمد [= AIND-D01505] .	REF 維持
REF_AIND-D01609_445049212286.xml	AIND-D01609	445049212286		なし		$$$	転送指示あり（XML: في ابن عبد الله）		أحمد بن محمد الشهاب الحلبي ثم الدمشقي قاضي كرك نوح	أحمد بن محمد الشهاب الحلبي ثم الدمشقي قاضي كرك	REF 維持。corpus 本文喪失
REF_AIND-D01611_634325568903.xml	AIND-D01611	634325568903		なし	AIND-D01611	$	転送指示あり		أحمد بن محمد الشهاب الطوخي	أحمد بن محمد الشهاب الطوخي الناسخ . مضى فيمن جده محمد بن عثمان .	REF 維持
REF_AIND-D01618_100176760209.xml	AIND-D01618	100176760209		なし		$$$	転送指示あり		أحمد بن محمد الشهاب الواسطي	أحمد بن محمد الشهاب الواسطي الاصم : مضى فيمن	REF 維持
REF_AIND-D01620_514473332117.xml	AIND-D01620	514473332117		なし		$$$	転送指示あり		أحمد بن محمد النجم والشهاب البامي	أحمد بن محمد النجم والشهاب البامي . مضى فيمن	REF 維持
REF_AIND-D01626_744618986919.xml	AIND-D01626	744618986919		なし		$$$	転送指示あり		أحمد بن محمد السنهوري المالكي	أحمد بن محمد السنهوري المالكي . مضى فيمن يعرف بابن عز الدين .	REF 維持
REF_AIND-D01648_476649465329.xml	AIND-D01648	476649465329		なし		$$$	転送指示あり		أحمد بن مظفر بن أبي بكر	أحمد بن مظفر بن أبي بكر . في ابن محمد بن أبي بكر .	REF 維持
REF_AIND-D01671_265713356287.xml	AIND-D01671	265713356287		なし	AIND-D01671	$	転送指示あり		أحمد بن موسى الشهاب بن الضياء الحنبلي	أحمد بن موسى الشهاب بن الضياء الحنبلي . مضى فيمن جده إبراهيم بن طرخان .	REF 維持
REF_AIND-D01708_980225625693.xml	AIND-D01708	980225625693	REF	なし		$$$	転送指示あり		أحمد بن يوسف بن إسماعيل بن عثمان الشهاب الكوراني	أحمد بن يوسف بن إسماعيل بن عثمان الشهاب الكوراني . مضى بدون يوسف [= AIND-D00552]	REF 維持
REF_AIND-D01718_552498892400.xml	AIND-D01718	552498892400	REF	なし		$$$	転送指示あり		أحمد بن يوسف بن محمد البانياسي	أحمد بن يوسف بن محمد البانياسي . سيأتي فيمن لم يسم جده [= AIND-D01723]	REF 維持
REF_AIND-D01725_563064344195.xml	AIND-D01725	563064344195	ref	なし		$$$	転送指示あり		أحمد بن يوسف الكوراني	أحمد بن يوسف الكوراني . مضى فيمن جده إسماعيل بن عثمان وأنه مضى غلطا في أحمد بن إسماعيل بن عثمان بدون يوسف . [= AIND-D00552]	REF 維持
REF_AIND-D01755_589454905059.xml	AIND-D01755	589454905059	REF	なし		$$$	転送指示あり		أحمد الشهاب السخاوي	أحمد الشهاب السخاوي . مضى قريبا فيمن يعرف بابن مونن [= AIND-D01741] .	REF 維持
REF_AIND-D02063_267433021987__REF_to_D02054.xml	AIND-D02063	267433021987	ref	なし		$$$	転送指示あり		الطنبغا القرمشي	الطنبغا القرمشي ، مضى قريبا فيمن يلقب سيف الدين .	REF 維持
REF_AIND-D02425_923170510154.xml	AIND-D02425	923170510154		なし		$$$	転送指示あり		جقمق الأرغون شاوي الدوادار	جقمق الأرغون شاوي الدوادار . ولي نيابة دمشق وابتنى فيها في جوار الجامع الاموي مدرسة تعرف بالجقمقية ثم خرج بها عن طاعة المؤيد وجرى له ما جرى . قلت وهو 	REF 維持
REF_AIND-D02510_604575372777.xml	AIND-D02510	604575372777		なし		$$$	転送指示あり		حسن بن إبراهيم الخالدي	حسن بن إبراهيم الخالدي . مضى فيمن جده حسين بن إبراهيم قريبا .	REF 維持
REF_AIND-D02529_471923879121.xml	AIND-D02529	471923879121		なし		$$$	転送指示あり		الحسن بن أمير علي بن سنقر حسام الدين بن غرلو	الحسن بن أمير علي بن سنقر حسام الدين بن غرلو نسبة لجد له من جهة الأم . يأتي في آخر من اسمه حسن .	REF 維持
