Arabic	Latin	ID	Note	修正・調整
برد بك (أستاذ بيغوت السيفي)	Bard Bak (ustādh Bayghūt al-Sayfī)	TMP-P-000757	出現: D02248(السيفي من برد بك=主人)。個体特定不能。既登録TMP-P-000669(D02317のジッダ関連برد بك・同定保留)との混用を避けるため別番号発行=要同定	B48新規発行
قبجق السلحدار	Qibjaq al-Silaḥdār	TMP-P-000758	出現: D02249(من قبجق السلحدار=主人)。本項のみ出現・独立立項なし	B48新規発行
أمير التركمان الكبكية	Amīr al-Turkumān al-Kabakiyya	TMP-O-00154	出現: D02734(قال غيره...أمير التركمان الكبكية)。カバク家トルクメンの部族長職	B45新規発行
عمل العمر | متكسب بالعمر	ʿamal al-ʿumar	TMP-O-00155	出現: D03772(العمري نسبة لعمل العمر・تكسب بالعمر)。マッカの代行ウムラ業(生業)。※既登録O-00006(عمل أوراق العمر=命令書作成職)とは別実体として分離発行(B28「広義で近い程度では統合しない」裁定準用)	B46新規発行
عقد الأزرار	ʿaqd al-azrār	TMP-O-00156	出現: D03832(تكسب بعقدها بحانوت عند باب جامع الحاكم)。紐ボタン結い職(手工業のO登録はالخياطة=Q242468・العطار=O-00012の先例)	B46新規発行
شاد أوقاف الاشرفية	Shādd Awqāf al-Ashrafiyya	TMP-O-00157	出現: D02158(عمل شاد أوقاف الاشرفية سنة 889)。アシュラフ家ワクフ監督職。O-00131(شاد الشربخاناه)とは対象別のため分離発行	B47新規発行
الجيعانية	al-Jīʿāniyya	TMP-I-00092	出現: D02726(نزيل الجيعانية)。カイロのジーアーニーヤ(イブン・アル＝ジーアーン家ゆかりの施設)。機関だがplaceName使用可(B20 زاوية裁定の運用)	B45新規発行
تربة جمال الدين	Turbat Jamāl al-Dīn	TMP-I-00093	出現: D02746(ولد بتربة جمال الدين من الصحراء)。カイロ・サハラー(北墓地)のジャマール・アッ＝ディーン廟	B45新規発行
المدرسة الشهابية | دار أبي أيوب الأنصاري	al-Madrasa al-Shihābiyya	TMP-I-00094	出現: D03003(بمبرك الناقة النبوية من دار أبي أيوب الأنصاري المعروفة بالمدرسة الشهابية)。マディーナ、預言者の雌駱駝が膝を折った地(دار أبي أيوب)のマドラサ	B46新規発行
القمحية	al-Qamḥiyya	TMP-I-00095	出現: D03834(تدريس القمحية بمصر)。ミスル(フスタート)のカムヒーヤ学院(マーリキー派教授職)。※Gemini書式不正TMP-X-00000を破棄→新規発行	B46新規発行
المدرسة الرواحية	al-Madrasa al-Rawāḥiyya	TMP-I-00096	出現: D03916(نزيل الرواحية بحلب)。ハラブのラワーヒーヤ学院	B46新規発行
باب الوزير	Bāb al-Wazīr	TMP-L-00189	出現: D02258(سكنه بباب الوزير)。カイロの街区(バーブ・アル＝ワズィール門界隈)	B48新規発行
غاية الاختصار في أصول قراءة أبي عمرو	Ghāyat al-Ikhtiṣār fī uṣūl qirāʾat Abī ʿAmr	TMP-T-00123	出現: D03604。الأمين عبد الوهاب بن أحمد بن وهبان الحنفي القاضي作の読誦法詩。D03604が注釈を著した	B46新規発行
ثلاثيات الدارمي	Thulāthiyyāt al-Dārimī	TMP-T-00124	出現: D04088(سمع...على عائشة ابنة ابن عبد الهادي)。※汎称のالثلاثيات(T-00018)とは分離	B46新規発行
المنتقى من مشيخة ابن كليب	al-Muntaqā min Mashyakhat Ibn Kulayb	TMP-T-00125	出現: D04163(سمع على التدمري)	B46新規発行
منية السول	Munyat al-Sūl	TMP-T-00126	出現: D04163(لابن عبد السلام)	B46新規発行
