	Institution	مقام الحنفية (بالمسجد الحرام)	Maqām al-Ḥanafiyya	TMP-I-00176	出現: D07657（「نائب إمام مقام الحنفية بها」＝مكة）。マッカ聖モスク(wd:Q428858)内のハナフィー派マカーム。corpus では D00743「نائب مقام الحنفية」・「نصف تكبير مقام الحنفية」等にも出現。ID-Master 未登録。	
	Location	الحسانية | الحسامية	al-Ḥassāniyya | al-Ḥusāmiyya	TMP-L-00277	出現: D04510（父のザーウィヤの所在「انتصب بعده في زاويته بالحسامية」）。父 #AIND-D05659 の本伝は「الحادث ساحل مور وهو واد عظيم به عدة قرى منها الحسانية قرية أبي حسان بن محمد الأشعري」と記し、同ザーウィヤはこの村にある。刊本 D04510 の「الحسامية」は「الحسانية」の異綴と判断（ISSUES §Da-2）。イエメン・ワーディー・マウルの村。GeoNames 照合不可。	
	Location	سفح قاسيون	Safḥ Qāsiyūn	TMP-L-00278	出現: D07494（埋葬「بتربة الزيني عبد الباسط بسفح قاسيون」）。ダマスクス北のカースィユーン山麓（サーリヒーヤ側の墓域）。ID-Master に قاسيون 未登録（repo の「سفح قاسيون」2件は TMP-L-00009／00140 の誤充当）。Wikidata 候補 Q1052047（Mount Qasioun、未照合）。	
	Location	قنطرة أمير حسين	Qanṭarat Amīr Ḥusayn	TMP-L-00279	出現: D07508（「ابتنى بالقرب من قنطرة أمير حسين دارا」）。カイロのハリージュに架かる橋とその周辺地区。corpus D07820「بقنطرة أمير حسين」・D07840「نزيل قنطرة أمير حسين」・L68257 にも出現。ID-Master 未登録（既登録は قنطرة الموسكي=L-00213、باب القنطرة=L-00244 のみ）。	
	Location	سوق الغزل | سوق الغزل الشرب	Sūq al-Ghazl	TMP-L-00280	出現: D07538（「الدلال بسوق الغزل الشرب」＝勤務先）。糸・上質亜麻布（شرب）の市場。原文に都市名の明記なし（本項主は القاهري）。ID-Master 未登録。	
	Location	الفخة	al-Fakhkha	TMP-L-00281	出現: D07592（没地「مات شابا في شوال سنة اثنتين وثلاثين بالفخة ودفن عند أبيه」）。イエメン（ナーシリー家の活動圏＝زبيد／الكدراء／القمحة 周辺）の地名と推定。corpus 内の出現は本項のみで綴り要確認（⚠刊本の誤植の可能性、ISSUES §De-7）。ID-Master 未登録。初版 #NEEDID を解消。	
	Location	زواوة	Zawāwa	TMP-L-00282	出現: D07616（「الزواوي قاضيها المالكي」＝ザワーワのカーディー。息子 #AIND-D00274「وأبوه ممن ولي القضاء بزواوة」で明示）。マグリブ中部（ビジャーヤ後背のカビール地方）のベルベル部族地域。ニスバ الزواوي（TMP-N-00264）の由来地。ID-Master 未登録。初版の placeName 位置 TMP-N-00264（カテゴリ不一致）を解消。	
	Location	الكتبيين | سوق الكتبيين	al-Kutubiyyīn	TMP-L-00283	出現: D07644（居住・所在「قال إنه في الكتبيين」）。カイロの書籍商街。corpus に「باب الكتبيين」「تكسب بالكتبيين」「حانوت بالكتبيين」等8回出現。ニスバ الكتبي(TMP-N-00072) とは別カテゴリ。ID-Master 未登録。	
	Location	الرمل (ظاهر اسكندرية)	al-Raml (ẓāhir Iskandariyya)	TMP-L-00284	出現: D07739（没地「مات … بالرمل ظاهر اسكندرية」）。アレクサンドリア郊外の砂地の地区。GeoNames 照合不可。既登録 TMP-L-00059「الرملة」（パレスチナ）とは別実体。	
	Location	الجزيرة خارج باب البحر (اسكندرية)	al-Jazīra khārij Bāb al-Baḥr (Iskandariyya)	TMP-L-00285	出現: D07739（埋葬地「فحمل إلى الجزيرة خارج باب البحر فدفن عند الشيخ علي الموازيني」）。アレクサンドリア海門（باب البحر）外の墓域。既登録 TMP-L-00075「الجزيرة」（注記なし・所在不明）とは区別して発行。	
	Location	الوراقين (سوق الوراقين بالقاهرة)	al-Warrāqīn (Sūq al-Warrāqīn, Cairo)	TMP-L-00286	出現: D07750（「بحانوت بالوراقين」）。カイロの書籍商街。既登録 TMP-L-00263「الوراق」（カイロ北郊の村）とは別実体。	
	Nisbah	الهتار	al-Hattār	TMP-N-05515	出現: D07506（محمد بن طلحة بن عيسى الهتار）。イエメン・ザビード近郊のスーフィー一族名（corpus D03382「الأشيب الهتار اليمني التريبي من نواحي زبيد」、D13086）。ID-Master に الهتار／الهتاري とも未登録。	
	Office	القيام بزاوية الشيبي بالحسانية | شيخ زاوية علي بن موسى الشيبي	al-qiyām bi-zāwiyat al-Shaybī bi-l-Ḥassāniyya	TMP-O-00278	出現: D04510（「انتصب بعده في زاويته بالحسامية」＝父 #AIND-D05659 علي بن موسى الشيبي のザーウィヤ運営を継承）。先例 TMP-O-00274（القيام بزاوية داود الحكمي、D07378）・TMP-O-00265（شيخ زاوية عمر）と同型の施設限定シャイフ職。	
	Office	خادم البيمارستان	khādim al-bīmāristān	TMP-O-00279	出現: D04516（「التعزي المدني الشافعي خادم البيمارستان」）。施療院の奉仕人職。既存の خادم 系（O-00153/00184/00200/00213/00225）・施療院系（O-00025 مستوفي／O-00148 نظر／O-00226 شيخ）とは別職。施設の所在は原文に明示なし（orgName は #NEEDID）。	
	Office	مقطع | أحد المقطعين	muqṭaʿ	TMP-O-00280	出現: D07465（「أحد المقطعين」）。イクター保有者の身分（state type=status で使用）。D13333 にも「المقطعين」。ID-Master 未登録（ニスバ مقطعي N-02676 のみ）。初版は #NEEDID	
	Office	مباشر في جهات الجوالي | مباشرة الجوالي	mubāshir fī jihāt al-jawālī	TMP-O-00281	出現: D07473（「باشر في بعض جهات الجوالي」）。ジャワーリー（人頭税）関連部署の実務官。既存 نظر الجوالي(O-00086、監督職) とは別。ID-Master 未登録。初版は #NEEDID	
	Office	شيخ الناحية (فارسكور)	shaykh al-nāḥiya (Fāraskūr)	TMP-O-00282	出現: D07477（「شيخ تلك الناحية ومدركها」）。ファーラスクール地方の在地長。既登録 TMP-O-00273「شيخ الناحية (المنزلة ومنية بدران)」・O-00139 شيخ نابلس・O-00257 شيخ بلقس と同型の地域別職。	
	Office	توقيع المفرد | موقع المفرد	tawqīʿ al-mufrad | muwaqqiʿ al-mufrad	TMP-O-00283	出現: D07615（「وكان قد باشر توقيع المفرد كأبيه وقتا」）。スルターン私領庁（الديوان المفرد）の署名書記職。ID-Master には نظر ديوان المفرد（TMP-O-00208）・صيرفي المفرد（TMP-O-00166）のみで書記職は未登録。初版 #NEEDID を解消。	
	Office	شاهد الإدارة بالبيمارستان	shāhid al-idāra bi-l-bīmāristān	TMP-O-00284	出現: D07647（「أحد شهود الإدارة بالبيمارستان」）。カイロ・マンスーリー病院(TMP-I-00034)の会計監査証人。汎用 الشاهد(TMP-O-00050)・نظر البيمارستان(TMP-O-00148) とは別職。ID-Master 未登録。	
	Office	نائب إمام مقام الحنفية	nāʾib imām maqām al-Ḥanafiyya	TMP-O-00285	出現: D07657（「نائب إمام مقام الحنفية بها」＝مكة）。マッカ聖モスクのハナフィー派マカームのイマーム代理。既登録 الإمامة(wd:Q125482) の代理職。repo D00743 は同職「نائب مقام الحنفية」に TMP-O-00017(مدير ديوان)を流用しており要是正（ISSUES §Df-6）。ID-Master 未登録。	
	Office	مادح الحرم | المادح بالحرم النبوي	mādiḥ al-Ḥaram	TMP-O-00286	出現: D07744（「المادح بحرمها … وصار مادح الحرم」）。マディーナの預言者モスク（TMP-I-00120）における頌詩（マディーフ）詠唱者。	
	Office	التكسب في الزجاج | زجاج	al-takassub fī al-zujāj	TMP-O-00287	出現: D07750（「واشتغل بالتكسب في الزجاج بحانوت بالوراقين」）。ガラス（器）商い。手工業・商いの O 登録先例（O-00156 عقد الأزرار、O-00233 صناعة الحرير）に倣う。	
	Person	علي بن محمد بن عبد الرحمن المغربي العطار	ʿAlī b. Muḥammad b. ʿAbd al-Raḥmān al-Maghribī al-ʿAṭṭār	TMP-P-001147	出現: D04508（父）。見出しナサブ「عبد الله بن علي بن محمد بن عبد الرحمن المغربي العطار」から1段ずらして復元（統一規則3）。corpus 本伝なし・ID-Master 未登録。⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止。	
	Person	غزال الحبشية (فتاة السراج عمر بن عبد العزيز النويري)	Ghazāl al-Ḥabashiyya	TMP-P-001148	出現: D04520（母「وأمه غزال الحبشية فتاة أبيه」）。父 #AIND-D05872（السراج عمر بن عبد العزيز العقيلي النويري المكي）の女奴隷。corpus 女性部に本伝なし・ID-Master 未登録。先例 TMP-P-000568（نور الصباح الحبشية）。	
	Person	عمر بن عبد الله بن عمر بن مسعود العمري المكي	ʿUmar b. ʿAbd Allāh b. ʿUmar b. Masʿūd al-ʿUmarī al-Makkī	TMP-P-001149	出現: D04522（父）。見出しナサブ「عبد الله بن عمر بن عبد الله بن عمر بن مسعود العمري المكي」から1段ずらして復元（統一規則3）。マッカの قواد「العمرة」一族（D02442／D03184／D04271／D05102／D07800／D08085／D09936 と同祖 عمر بن مسعود）。corpus 本伝なし・ID-Master 未登録。	
	Person	عمر بن عثمان الشمري الملحاني	ʿUmar b. ʿUthmān al-Shammarī al-Milḥānī	TMP-P-001150	出現: D04524（父）。見出しナサブ「عبد الله بن عمر بن عثمان أبو محمد الشمري الملحاني」から1段ずらして復元（統一規則3）。子は本項主 #AIND-D04524 と #AIND-D03712（عبد الرحمن بن عمر بن عثمان الشمري الملحاني）。corpus 本伝なし・ID-Master 未登録。⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止。 【裁定反映 2026-09-24】#AIND-D03712 にも father relation として付与済み（要判断_B88 §R-2）。	
	Person	عمر بن محمد الدملوي اليمني	ʿUmar b. Muḥammad al-Damlawī al-Yamanī	TMP-P-001151	出現: D04531（父）。見出しナサブ「عبد الله بن عمر بن محمد الدملوي اليمني」から1段ずらして復元（統一規則3）。corpus 本伝なし・ID-Master 未登録。⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止。	
	Person	عبد الله العراقي (شيخ الطريق باليمن)	ʿAbd Allāh al-ʿIrāqī	TMP-P-001152	出現: D04532（師「صحب عبد الله العراقي وانتفع به في الطريق ونصبه شيخا」）。9世紀イエメンのスーフィー師。corpus 他所に出現なし・本伝なし・ID-Master 未登録（TMP-N-00105 العراقي はニスバ番号、wd:Q4664581 الزين العراقي とは別人）。⚠汎用名（名＋ニスバのみ）。同名別人への流用禁止。 【裁定反映 2026-09-24・要判断_B88 §M-3】「corpus 他所に出現なし」は誤り。本伝候補2件: #AIND-D04477（عبد الله بن عبد اللطيف … اليامشي العراقي الأصل العدني、862年アデン没、スーフィー）／#AIND-D04479（عبد الله بن عبد اللطيف أبو محمد الحضرمي نزيل مكة الشهير بالعراقي、847年マッカ没）。corpus 内で絞れないため仮番号を維持。	
	Person	الشهاب القباقبي (المقرئ)	al-Shihāb al-Qabāqibī	TMP-P-001153	出現: D04534（師「وكذا أخذ عن الشهاب القباقبي」、読誦学）。corpus 他所に出現なし・ID-Master 未登録（TMP-N-00454 القباقبي はニスバ番号）。⚠ القباقبي 家の読誦学者 الشمس محمد بن خليل القباقبي（corpus に「الشمس القباقبي」として頻出）とは別人（ラカブ相違）。⚠汎用名。同名別人への流用禁止。	
	Person	عيسى بن عبد الله الكردي	ʿĪsā b. ʿAbd Allāh al-Kurdī	TMP-P-001154	出現: D04534（父）。見出しナサブ「عبد الله بن عيسى بن عبد الله الجمال الكردي」から1段ずらして復元（統一規則3）。corpus 本伝なし・ID-Master 未登録。⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止。	
	Person	سليمان بن أحمد بن إبراهيم بن عبد الملك العلم الفقيه السنباطي الدمياطي	Sulaymān b. Aḥmad b. Ibrāhīm b. ʿAbd al-Malik al-ʿAlam al-Faqīh al-Sunbāṭī	TMP-P-001155	出現: D07445（父）。見出しナサブ「محمد بن سليمان بن أحمد بن إبراهيم بن عبد الملك الشمس بن العلم」から1段ずらして復元（統一規則3）。「ويعرف بابن الفقيه سليمان وأبوه بالسنباطي」＝الفقيه سليمان・السنباطي として知られた。corpus に本伝なし・ID-Master 未登録。初版は #NEEDID	
	Person	التاج عتيق قاضي دمياط	al-Tāj ʿAtīq, qāḍī Dimyāṭ	TMP-P-001156	出現: D07445（師「وبحث على قاضي بلده التاج عتيق」）。ダミエッタのカーディー（8世紀末〜9世紀初）。D07204 にも「القاضيين التاج عتيق والعز بن سليم」として出現。corpus に本伝なし・ID-Master 未登録。初版は #NEEDID	
	Person	سليمان بن حماد السكندري	Sulaymān b. Ḥammād al-Sakandarī	TMP-P-001157	出現: D07448（父）。見出しナサブ「محمد بن سليمان بن حماد الشمس السكندري」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止	
	Person	سليمان بن داود الطائفي	Sulaymān b. Dāwūd al-Ṭāʾifī	TMP-P-001158	出現: D07452（父）。見出しナサブ「محمد بن سليمان بن داود الطائفي الغمري ثم القاهري」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止（D07453 の父 TMP-P-NEW88b-06 とは別人）	
	Person	سليمان بن داود اللاري	Sulaymān b. Dāwūd al-Lārī	TMP-P-001159	出現: D07453（父）。見出しナサブ「محمد بن سليمان بن داود اللاري المؤذن」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止（D07452 の父 TMP-P-NEW88b-05 とは別人）	
	Person	سليمان بن وهبان المدني	Sulaymān b. Wahbān al-Madanī	TMP-P-001160	出現: D07457（父）。見出しナサブ「محمد بن سليمان بن وهبان المدني」から1段ずらして復元（統一規則3）。#AIND-D03159（سليمان بن علي بن سليمان بن وهبان المدني）の祖父。corpus に本伝なし・ID-Master 未登録 ⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止。	
	Person	سنقر مولى ابن شرف الدين (والد محمد بن سنقر الشرفي)	Sunqur, mawlā Ibn Sharaf al-Dīn	TMP-P-001161	出現: D07463（父「لكون والده مولاه」）。カイロ・الحسينية の「الجامع الشهير」の主 ابن شرف الدين の مولى（解放奴隷／被護者）。本項主のニスバ الشرفي の由来。corpus に本伝なし・ID-Master 未登録。初版は #NEEDID。ISSUES §Db-4	
	Person	سيف بن محمد بن عمر بن بشارة	Sayf b. Muḥammad b. ʿUmar b. Bishāra	TMP-P-001162	出現: D07467（父）。見出しナサブから1段ずらして復元（統一規則3）。サファド方面の عشير の長 بنو بشارة 一族（D02119・D12189）。corpus に本伝なし・ID-Master 未登録。初版は father relation なし	
	Person	شعبان بن علي بن شعبان الغزي	Shaʿbān b. ʿAlī b. Shaʿbān al-Ghazzī	TMP-P-001163	出現: D07472（父）。見出しナサブ「محمد بن شعبان بن علي بن شعبان الشمس الغزي الشافعي」から1段ずらして復元（統一規則3）。兄弟 #AIND-D00770（أحمد）・#AIND-D04123（عبد القادر）と共通の父。corpus に本伝なし・ID-Master 未登録	
	Person	المعلى (كاتب مجالس السماع في أمالي الولي العراقي)	al-Muʿallā	TMP-P-001164	出現: D07473（「كما رأيته مثبتا بخط المعلى في مجالس」＝الولي العراقي（#AIND-D00844）の口述会の聴聞記録の筆記者）。初版はニスバ番号 TMP-N-00808「المعلي」を person 位置に流用。corpus に他出なし・ID-Master 未登録。読み（المعلَّى／المعلِّي）は要確認。ISSUES §Db-9	
	Person	الزين صدقة بن خليل بن الحسن الحلبي	al-Zayn Ṣadaqa b. Khalīl b. al-Ḥasan al-Ḥalabī	TMP-P-001165	出現: D07489（父「وأبوه ممن قرأ القراءات」）。見出しナサブ「محمد بن صدقة بن خليل بن الحسن الشمس بن الزين بن البدر الحلبي ويعرف بابن الفرفور」から1段ずらして復元（規則3）。アレッポの ابن الفرفور 家（8世紀。ダマスクスの قاضي ابن الفرفور=TMP-P-000625 とは別家系）。corpus 本伝なし・ID-Master 未登録。	
	Person	البدر خليل بن الحسن الحلبي كاتب الديوان بحلب	al-Badr Khalīl b. al-Ḥasan al-Ḥalabī, kātib al-dīwān bi-Ḥalab	TMP-P-001166	出現: D07489（祖父「وأما جده فكان كاتب الديوان بحلب」）。ナサブから2段ずらして復元、職（アレッポのディーワーン書記）で識別。corpus 本伝なし・ID-Master 未登録。	
	Person	صدقة بن صالح المطري القاهري	Ṣadaqa b. Ṣāliḥ al-Maṭarī al-Qāhirī	TMP-P-001167	出現: D07490（父）。見出し「محمد بن صدقة بن صالح المطري القاهري」から復元（規則3）。初版の汎用登録番号 TMP-P-000652（篠田「صدقة」＝同名複数で未確定）を差し替え。⚠汎用名。同名別人への流用禁止。corpus 本伝なし・ID-Master 未登録。	
	Person	طقزق بن ناصر الدين الصالحي	Ṭuqzuq b. Nāṣir al-Dīn al-Ṣāliḥī	TMP-P-001168	出現: D07505（父）。見出し「محمد بن طقزق بن ناصر الدين الصالحي الحنفي」から復元。祖父は laqab ناصر الدين のみ判明。希少名＋ニスバで識別。corpus に طقزق は本項のみ・ID-Master 未登録。	
	Person	طلحة بن عيسى الهتار	Ṭalḥa b. ʿĪsā al-Hattār	TMP-P-001169	出現: D07506（父）。見出し「محمد بن طلحة بن عيسى الهتار」から復元（規則3）。イエメン（ザビード近郊 التريبة）のスーフィー一族 الهتار。corpus D13086「زينب ابنة طلحة … الهتار（没831）」は娘の可能性、D03382「صديق بن عبد اللطيف بن عيسى الأشيب الهتار」は甥の可能性（いずれも原文に関係明記なし）。corpus 本伝なし・ID-Master 未登録。 ⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止。	
	Person	الشيخ عامر بن محمد بن محمد الغمري المقدسي	al-Shaykh ʿĀmir b. Muḥammad b. Muḥammad al-Ghamrī al-Maqdisī	TMP-P-001170	出現: D07510（父「محمد بن الشيخ عامر بن محمد بن محمد الشمس الغمري المقدسي المادح الحائك」）。ナサブから1段ずらして復元（規則3）。corpus 本伝なし（عامر 部 D03462〜D03465 に該当なし）・ID-Master 未登録。	
	Person	عباس بن محمد بن عباس البعلي العلاف	ʿAbbās b. Muḥammad b. ʿAbbās al-Baʿlī al-ʿAllāf	TMP-P-001171	出現: D07514（父「العلاف أبوه」）。見出し「محمد بن عباس بن محمد بن عباس الشمس البعلي」から復元（規則3）。バアルベクの飼料商。corpus 本伝なし・ID-Master 未登録。	
	Person	عبد الدائم بن عمر بن عوض الزين المرصفي (القاضي زين الدين)	ʿAbd al-Dāʾim b. ʿUmar b. ʿAwaḍ al-Zayn al-Marṣafī	TMP-P-001172	出現: D07527（父、「محمد بن عبد الدائم بن عمر بن عوض المحب … بن الزين بن العلامة أبي حفص المرصفي」）。見出しナサブから1段ずらして復元（統一規則3）。#AIND-D00808「أحمد بن عبد الدائم بن عمر الشهاب بن القاضي زين الدين المرصفاوي」の父でもある（＝カーディー）。父＝العلامة أبو حفص عمر بن عوض المرصفي。corpus に本伝なし。初版の TMP-P-000238（ID-Master 裸名「عبد الدائم」のみ・repo 未使用）は流用せず。 【裁定反映 2026-09-24】#AIND-D00808 にも father relation（cert medium）として付与済み（要判断_B88 §R-4）。	
	Person	عبد الرحمن بن أحمد بن عبد الوهاب البرلسي (ابن وهيب)	ʿAbd al-Raḥmān b. Aḥmad b. ʿAbd al-Wahhāb al-Burullusī	TMP-P-001173	出現: D07535（父、「بعد موت أبيه بمكة سنة أربع وتسعين」）。見出しナサブから復元（統一規則3）。兄弟＝#AIND-D06722（محمد بن أحمد بن عبد الوهاب الشمس البرلسي التاجر ويعرف بابن وهيب）。894年にマッカで没。corpus に本伝なし・ID-Master 未登録。	
	Person	ابن أخي الشهاب بن الفرفور (كاتب سر دمشق من جمادى الآخرة 892)	Ibn akhī al-Shihāb b. al-Farfūr	TMP-P-001174	出現: D07539（後任、「ثم صرف في جمادى الآخرة من التي تليها بابن اخي الشهاب بن الفرفور」）。⚠人名不詳。الشهاب أحمد بن محمود … ابن الفرفور（#AIND-D01637）の甥で、892年ジュマーダー・アル＝アーヒラ月にダマスカスの كاتب السر に就任。corpus に本伝未検出・ID-Master 未登録。同名別人への流用禁止。	
	Person	خديجة ابنة القاضي سليمان بن علي بن الجنيد	Khadīja bt. al-Qāḍī Sulaymān b. ʿAlī b. al-Junayd	TMP-P-001175	出現: D07541（母、「وأمه خديجة ابنة القاضي سليمان بن علي بن الجنيد」）。女性(F)。父＝#AIND-D03156（سليمان بن علي بن أحمد القاضي نفيس الدين أبو الربيع القرشي اليمني ويعرف بالجنيد أو ابن الجنيد、アデンのカーディー）。夫＝#AIND-D03605（عبد الرحمن بن أبي بكر بن عبد الله بن ظهيرة）。女性部に本伝なし・ID-Master 未登録。	
	Person	عبد الرحمن بن أبي بكر بن عمر الدمشقي الكفرسوسي	ʿAbd al-Raḥmān b. Abī Bakr b. ʿUmar al-Dimashqī al-Kafrsūsī	TMP-P-001176	出現: D07543（父、「محمد بن عبد الرحمن بن أبي بكر بن عمر الفاضل الشمس الدمشقي الكفرسوسي الشافعي」）。見出しナサブから1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。	
	Person	عبد الرحمن بن حسن بن محمد الرعيني الأندلسي الأصل الطرابلسي المالكي (الحطاب)	ʿAbd al-Raḥmān b. Ḥasan b. Muḥammad al-Ruʿaynī al-Ḥaṭṭāb	TMP-P-001177	出現: D07546（父、cert medium。見出し「محمد أبو عبد الله أخو الذي قبله」）。前項 #AIND-D07545「محمد بن عبد الرحمن بن حسن بن محمد أبو عبد الله الرعيني الأندلسي الأصل … المالكي نزيل مكة ويعرف … بالحطاب … ومات كل من أبويه في أسبوع واحد في ذي الحجة سنة إحدى وثمانين بالطاعون」（カイロで没）の父＝同一人物。D07545（本バッチ外）収録時に同番号で統一要。corpus に本伝なし・ID-Master 未登録。	
	Person	عبد الرحمن بن عبد الله بن أحمد بن علي الحسيني الحضرمي	ʿAbd al-Raḥmān b. ʿAbd Allāh b. Aḥmad b. ʿAlī al-Ḥusaynī al-Ḥaḍramī	TMP-P-001178	出現: D07556（父）。見出しナサブ「محمد بن عبد الرحمن بن عبد الله بن أحمد بن علي الشريف الحسيني الحضرمي اليماني ويعرف بالشيخ باعلوي」から1段ずらして復元（統一規則3）。ハドラマウトのバーアラウィー家サイイド。corpus 本伝なし・ID-Master 未登録。⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止。	
	Person	فاطمة ابنة القاضي أبي الفضل محمد بن أحمد بن عبد العزيز النويري المكية	Fāṭima bt. al-Qāḍī Abī al-Faḍl Muḥammad b. Aḥmad b. ʿAbd al-ʿAzīz al-Nuwayrī al-Makkiyya	TMP-P-001179	出現: D07559（母「وأمه فاطمة ابنة القاضي أبي الفضل النويري」）。父はマッカのカーディー・ハティーブ الكمال أبو الفضل محمد بن أحمد بن عبد العزيز النويري（没786、corpus 本伝なし・ID-Master 未登録。TMP-P-000933 はその孫の同名ハティーブ＝別人）。#AIND-D13493「فاطمة ابنة أبي الفضل محمد بن عبد الرحمن بن علي بن أحمد العقيلي النويري」（836年イジャーザ）は次世代の別人。corpus 本伝なし・ID-Master 未登録。初版 #NEEDID を解消。	
	Person	التاج عبد الرحمن بن علي بن يوسف بن منصور القاهري	al-Tāj ʿAbd al-Raḥmān b. ʿAlī b. Yūsuf b. Manṣūr al-Qāhirī	TMP-P-001180	出現: D07565（父）。見出しナサブ「محمد بن عبد الرحمن بن علي بن يوسف بن منصور الشمس القاهري」から1段ずらして復元（統一規則3）。ラカブ التاج は孫 #AIND-D08814 の見出し「الكمال أبو محمد بن الشمس بن التاج بن النور」による。#AIND-D03705（عبد الرحمن بن علي بن يوسف بن الحسن）は別ナサブ。corpus 本伝なし・ID-Master 未登録。⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止。	
