# ★を含み作業を止める項（167件）— バッチ切り出し時にこの一覧を除外すれば作業者は★に出会いません
# 生成: precheck_corpus_anomalies.py 相当 / 対象 0__DawForAIND_renumbered_B54.txt / 2026-08-31
AIND-ID	見出し冒頭
AIND-D05364	950 علي بن محمد بن أبي بكر بن زيد العلاء
AIND-D05391	977 علي بن محمد بن أحمد نور الدين بن شمس
AIND-D05397	982 علي بن محمد بن أحمد المقسي القزاز المدولب
AIND-D05446	1030 علي بن محمد بن عبد الرحمن المنوفي ثم
AIND-D07404	610 محمد★ بن أبي الزين أبو الطيب القيرواني المغربي المالكي .
AIND-D07429	631 محمد بن سعيد بن محمد بن سعيد بن
AIND-D07480	محمد★ بن شعيرات . في ابن حسين بن محمد .
AIND-D07497	696 محمد★ بن صديق بن قديح المصري نزيل جدة ومكة . ممن سمع مني
AIND-D08043	428 محمد بن علي بن أبي بكر بن علي المحب الكناني السيوطي الشا
AIND-D08570	30 ★محمد بن علي★ [ُorder false_from here to no. 66]
AIND-D08578	38 محمد ★بن★ بن علي محمد بن أبي بكر بن إسماعيل بن
AIND-D08690	141 محمد بن محمد بن أحمد الساحلي الاندلسي نزيل
AIND-D08709	158 محمد بن محمد بن أبي بكر بن الحسين بن عمر
AIND-D08824	268 محمد شمس الدين بن صلح أخو الثلاثة قبله .
AIND-D08896	339 محمد بن محمد بن عبد المؤمن بن خليفة بن علي
AIND-D08902	346 محمد بن محمد بن عثمان بن أيوب بن عثمان
AIND-D08909	355 محمد بن محمد بن عرفات بن محمد ناصر الدين
AIND-D08910	357 محمد بن محمد بن علي بن إبراهيم أبو الفتح
AIND-D08912	360 محمد بن محمد بن علي بن أحمد بن عبد العزيز
AIND-D08924	محمد بن محمد بن علي بن حسان . فيمن جده علي بن
AIND-D08929	377 محمد بن محمد بن علي بن عبد الرزاق الشمس أبو
AIND-D08981	430 محمد بن محمد بن علي المطوعي الأزهري . ممن سمع مني .
AIND-D08986	436 محمد بن محمد بن عمر بن إسرائيل الشمس أو
AIND-D08989	440 محمد بن محمد بن عمر بن عبد الوهاب بن عبد
AIND-D09009	459 محمد بن محمد بن عمر الغزي الحنفي وليس هو
AIND-D09086	531 محمد القطب أبو الخير المالكي أخو الخمسة
AIND-D09103	549 محمد بن محمد بن محمد بن عبد الرحمن بن محمد
AIND-D09231	747 محمد بن محمد بن محمد بن محمد بن محمد بن
AIND-D09490	222 محمد بن ناصر بن يوسف بن سالم بن عبد
AIND-D09851	562 محمود بن عثمان بن محمد الخساري السمرقندي
AIND-D09888	599 محمود خان الطقتمشي المغلي من ذرية جنكز خان .
AIND-D10060	765 موسى الشرف بن البدر حسن واستقر في نظر
AIND-D10092	800 موسى بن محمد بن موسى بن علي بن محمد بن علي
AIND-D10112	822 ميخائيل بن إسرائيل النصراني اليعقوبي المدعو
AIND-D10115	830 ناصر بن خليل بن أحمد بن سليمان العادل بن
AIND-D10132	851 نصر الله بن عبد الغني بن عبد الله الشمس بن
AIND-D10176	894 هزاع بن صاحب الحجاز محمد بن بركات أخو مهيزع
AIND-D10193	913 ولي الرومي ثم الأزهري الحنفي . قطن الجامع
AIND-D10224	944 يحيى بن أحمد بن عمر بن يوسف بن عبد الله بن
AIND-D10254	974 ★يحيى★ بن عبد الله نحوي تونس ...
AIND-D10274	994 يحيى بن علي بن قرا برج الشرف الطشلاقي
AIND-D10297	1017 يحيى بن محمد بن سعيد بن فلاح بن عمر الشرف
AIND-D10319	1039 يحيى بن محمد بن يحيى بن الأهدل اليماني ابن
AIND-D10359	1077 يشبك من مهدي الظاهري جقمق ويعرف بالصغير .
AIND-D10379	1097 يشبك الموساوي الظاهري برقوق ويعرف بالأفقم .
AIND-D10394	★يعقوب★ بن عبد الرحمن بن يعقوب . هكذا كتبته مجردا
AIND-D10433	1150 يوسف بن أحمد بن أحمد بن أحمد القاهري
AIND-D10469	1187 يوسف بن حسين الكردي الشافعي نزيل دمشق
AIND-D10470	1189 يوسف بن خلد بن نعيم بن مقدم بن محمد بن حسن
AIND-D10498	1219 يوسف بن علي بن زين الدين بن شكر المتبولي .
AIND-D10543	1265 يوسف بن محمد بن يوسف بن الحسن بن محمود
AIND-D10823	204 أبو بكر بن محمد بن أبي بكر بن علي بن
AIND-D10932	303 أبو الحسن بن عرب أحد النواب أيضا . مات
AIND-D10951	321 أبو الخير بن البساطي هو خير الدين محمد
AIND-D10962	332 أبو الخير العقاد الحريري القاهري ممن
AIND-D10984	353 أبو السعود بن سليمان المغربي المؤذن
AIND-D10997	365 أبو الطاهر بن عبد الله المراكشي المغربي
AIND-D11005	373 أبو العباس الوفائي شاد العمائر عند جوهر
AIND-D11006	374 أبو عبد الله بن أبي الخير بن محمد بن
AIND-D11007	أبو العريان .
AIND-D11009	376 أبو غالب القبطي المباشر في ديوان الخاص .
AIND-D11025	389 أبو الفتح بن أبي السعود بن الكمال أبي
AIND-D11047	411 أبو الفضائل بن الشهاب أحمد بن أبي
AIND-D11056	420 أبو الفضل بن موسى بن أبي الهول أخو أبي البركات
AIND-D11091	أبو القسم بن محمد بن محمد بن أحمد القسنطيني
AIND-D11097	460 أبو القسم بن يحيى بن عبد الله المراكشي
AIND-D11118	480 أبو النجا المقري إمام جامع المغاربة
AIND-D11136	497 أسد الدين الكيماوي العجمي قتل في أوائل
AIND-D11139	508 شمس الدين بن خليل المقري أحد أعيانهم
AIND-D11141	515 علم الدين أبو الفضل بن جلود
AIND-D11142	516 عماد الدين الداديخي أبو بكر بن سليمان
AIND-D11148	525 مجد الدين البقري أخو الشرف عبد الباسط
AIND-D11149	527 محيي الدين بن نور الدين علي الجوهري
AIND-D11150	مخلص الدين ...
AIND-D11151	528 معين الدين بن عبد الرحمن بن القاضي
AIND-D11154	نجيب الدين ...
AIND-D11201	539 الحطي ملك الحبشة الكافر هلك في سنة ثمان
AIND-D11231	الذاكر محمد بن أبي بكر بن عبد الرحمن وآخر
AIND-D11244	زقي محمد بن محمود بن إسحق .
AIND-D11317	الغلة بالفتح أبو القسم بن محمد بن مقبل بن
AIND-D11363	المستحل في الرئيس .
AIND-D11364	المستكفي بالله سليمان بن محمد بن أبي بكر بن
AIND-D11373	المعتضد بالله داود بن محمد بن أبي بكر بن
AIND-D11512	البليني بضم أوله ثم لام ساكنة بعدها
AIND-D11556	الجاناتي موسى بن محمد بن علي بن موسى .
AIND-D11576	الجناني بكسر ثم تخفيف سليم بن عبد الرحمن بن
AIND-D11648	الدماطي مثله لكن بطاء مهملة حسن ابن علي بن
AIND-D11655	الدمياطي بكسر أوله بلد شهير عبد الله بن
AIND-D11706	الزيادي بالفتح والتشديد نسبة لمحلة زياد من الغربية علي بن أح
AIND-D11758	الشباسي بفتح أوله وثانيه وآخره مهملة أحمد
AIND-D11773	الشلقامي بضمتين علي بن عبد الرحمن بن محمد
AIND-D11788	الصائغ للصنائع .
AIND-D11815	الطنتدائي أحمد ومحمد ابنا عبد الرحمن بن عوض
AIND-D11844	العراقي نسبة للعراق عبد الرحيم بن الحسين بن
AIND-D11845	العرشاني بفتحات .
AIND-D11859	العقبي نسبة لمنية عقبة من الجيزية رضوان
AIND-D11879	الغراقي نسبة لغراقة بمعجمة مفتوحة ثم راء
AIND-D11896	الفرسيسي بفتح أوله ومهملات نسبة لفرسيس محمد
AIND-D11948	القليجي كالأول لكن بجيم بدل الموحدة نسبة
AIND-D11953	القوصوني نسبة لجامع قوصون محمد بن عبد
AIND-D12006	المخزومي نسبة لبني مخزوم من قريش جماعة .
AIND-D12048	المكي نسبة لمكة المشرفة جماعة .
AIND-D12066	الميدومي نسبة لميدوم الزكي أبو بكر بن عمر
AIND-D12077	النحوي نسبة لعلم النحو جماعة كثيرون منهم
AIND-D12134	ابن لأحمد الفاخوري المهندس أبوه أمسك بسرقة
AIND-D12159	ابن امام الصرغتمشية محمد بن محمد بن
AIND-D12160	ابن الإمام محمد بن يحيى أو إبرهيم بن عبد
AIND-D12168	ابن اينال أحمد ومحمد ابنا علي بن أينال
AIND-D12186	ابن البرهان أحمد بن إبرهيم بن عيسى الدمشقي
AIND-D12210	ابن تقي المدني فتح الدين أبو الفتح محمد بن
AIND-D12228	ابن جليدة بضم تصغير جلدة أحمد بن حسن وخاله
AIND-D12251	ابن حجر بفتحتين أحمد بن علي بن محمد بن محمد
AIND-D12271	ابن حليمة المكي عبيد بن يوسف وابنه محمد.
AIND-D12285	ابن الخازن محمد بن إبرهيم بن عبد المهيمن
AIND-D12297	ابن الخطائي بفتح ومهملة ممدود علي بن محمد
AIND-D12316	ابن خيرة بفتح وراء مكسورة وكأنه مخفف من
AIND-D12383	ابن الزيبق بفتح ثم تحتانية ساكنة بعدها
AIND-D12384	ابن زيت حار في زيت حار .
AIND-D12392	ابن السبع قاسم بن
AIND-D12398	ابن السفطي أحمد بن الولوي محمد بن أحمد بن
AIND-D12415	ابن سلامة اثنان كل منهما اسمه حسن فشافعي
AIND-D12442	ابن شهيبة بضم مصغر عمر بن .
AIND-D12468	ابن الصلاح بالتخفيف أحمد بن محمد بن الصلاح
AIND-D12470	ابن صنيعة بفتح ثم كسر الشرف يحيى بن الوزير .
AIND-D12485	ابن طلحة .
AIND-D12494	ابن ظهيرة بيت كبير منهم الحافظ الجمال محمد
AIND-D12520	ابن العبسي في العبسي
AIND-D12531	ابن العديم جماعة كثيرون ذكر بعضهم في ابن
AIND-D12550	ابن عفيف كرغيف أبو البركات بن عفيف بن وهبة
AIND-D12558	ابن لعلي الشريف بن محمود الكردي الماضي أبوه
AIND-D12594	ابن فخير كالذي قبله بدون تأنيث علي وأحمد
AIND-D12616	ابن قاسم الولوي محمد بن قاسم بن عبد الله بن
AIND-D12721	ابن المراحلي أحمد بن محمد بن أحمد وابنه
AIND-D12741	ابن مصلح أحمد بن محمد بن يحيى بن مصلح وأخوه
AIND-D12750	ابن المغربل عمر وخليل ابنا أبي بكر بن علي
AIND-D12754	ابن المفضل محمد بن عمر بن عبد العزيز وابنه .
AIND-D12776	ابن الموله محمد بن أحمد بن عثمان بن خالد .
AIND-D12786	ابن النسخة أحمد بن محمد بن أحمد . ★ID_Missing★ ابن نسيبة مصغ
AIND-D12789	ابن النصيبي الضياء محمد بن عمر بن أبي بكر
AIND-D12801	ابن أبي الهول سعد الدين أبو البركات ومجد
AIND-D13086	$ 242 زينب ابنة طلحة ... الهتار ماتت سنة احدى
AIND-D13272	$ 428 صالحة ابنة البهاء أحمد بن التقي علي بن
AIND-D13891	$ 1044 أخت للأشرف قايتباي وليست بأم الماضية
