AIND-ID	型	意味	作業可否	該当箇所	前後文脈	作業者への指示
AIND-D00207	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	النظم وبالنثر حتى من خوله في النعم بعد الفاقة±±± والعدم وأخذ بجاهه أمورا لا يستحقها كالنظر عل	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00207	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	قها كالنظر على جامع الفكاهين وعلى خان اويداني±±±★ وجرت فيهما وقائع وكتدريس القراآت بالمؤيدية	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00207	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	~% لا تهتكن من مساوي الناس ما ستروا %~% نبيتك±±± الله سترا من مساويكا %~% %~% واذكر محاسن ما	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00207	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	خ للبيب الفائز %~% %~% فقلت أعيان الزمان الكل±±± يا %~% شيخي تتمات الكمال البارزي %~% وقوله	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00207	STAR_ORPHAN	対になっていない孤立した★（変換ノイズ）	◎	★	كالنظر على جامع الفكاهين وعلى خان اويداني±±±★ وجرت فيهما وقائع وكتدريس القراآت بالمؤيدية ع	無視してよい。
AIND-D00213	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	حدا وحكى ذلك للشيخ رمضان الآتي فقال له قد كنت±±± معك وحفظتها ثم أنشده إياها وهي : %~% يا مال	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00248	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	ة لأخيه وذاك الأصغر وكان فيه فضل وربما تعتريه±±± حالة جنون مات في	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00249	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	ه هو والولي العراقي بل سمع على الولي في أملية±±± وغيرها وتفقه بالزين بن طاهر ودرس بعد أبيه با	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00266	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	%~% %~% فلازمي كل ما لله فيه رضا %~% واستمسكي±±± بالتقى±±± في القول والعمل %~% %~% فمن أطاع س	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00266	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	ازمي كل ما لله فيه رضا %~% واستمسكي±±± بالتقى±±± في القول والعمل %~% %~% فمن أطاع سعيد عند خا	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00271	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	ما يستحضر لفظ التنبيه إلا أنه صار بأخرة يتعلم±±± كثيرا ويرد ما لا يتجه رده وربما أخطأ في الرد	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00325	ELLIPSIS	原文の欠落（lacuna）	○	...	إبراهيم بن محمد الحموي ...	欠落部は情報なしとして扱い、該当要素を立てずに作業する。
AIND-D00338	ELLIPSIS	原文の欠落（lacuna）	○	...	إبراهيم بن موسى بن عبد الله الهوى الصوفي ...	欠落部は情報なしとして扱い、該当要素を立てずに作業する。
AIND-D00361	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$615463781131$# $$$	دين بن الحسام الصقري . مضى فيمن أبوه محمد . ###$615463781131$# $$$ إبراهيم ابن أخي ابن الزمن . هو ابن عبد الكري	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00367	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$636238168857$# $$$	في أوائل سنة خمس وسبعين وكان صحبة العسكر . ###$636238168857$# $$$ إبراهيم بن الحموي . في ابن محمود بن عبد الرح	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00367	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$147845022490$# $$$	ي . في ابن محمود بن عبد الرحيم بن أبي بكر . ###$147845022490$# $$$ إبراهيم بن خطيب عذراء . في ابن محمد بن عيسى	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00367	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$832237994778$# $$$	ن خطيب عذراء . في ابن محمد بن عيسى بن عمر . ###$832237994778$# $$$ إبراهيم بن قنديل . يأتي قريبا في إبراهيم الش	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00377	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$552754742070$# $$$	صوابه أحمد قال شيخنا ويتعجب من خفائه عليه . ###$552754742070$# $$$ إبراهيم برهان الدين الحنبلي الصواف . مضى في	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00384	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$477777363778$# $$$	هو ابن أحمد بن إبراهيم بن عبد الرحمن مضى . ###$477777363778$# $$$ إبراهيم الأخضري المغربي . مضى في ابن محمد .	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00391	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$210449204049$# $$$	القادر بمكة الفقه وأصوله والعربية وغيرها . ###$210449204049$# $$$ إبراهيم الحتاتي مضى في ابن أحمد بن محمد .	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00392	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$535306437462$# $$$	هيم الحصحاص قاضي سوسة . ذكره ابن عزم هكذا . ###$535306437462$# $$$ إبراهيم الخدري . في الأخضري وأنه ابن محمد .	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00392	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$103943242584$# $$$	إبراهيم الخدري . في الأخضري وأنه ابن محمد . ###$103943242584$# $$$ إبراهيم الخنجي . في ابن محمد بن مبارز بن محم	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00393	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$121924223833$# $$$	نكار بعض رفقائه عليه ذلك رحمه الله وإيانا . ###$121924223833$# $$$ إبراهيم الزايرجي نزيل دمياط . مات في . ###$	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00393	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$408502894922$# $$$	$$$ إبراهيم الزايرجي نزيل دمياط . مات في . ###$408502894922$# $$$ إبراهيم الزرعي الدمشقي . مضى قريبا في الملقب	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00393	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$707545531227$# $$$	مشقي . مضى قريبا في الملقبين ببرهان الدين . ###$707545531227$# $$$ إبراهيم الزواوي . هو ابن محمد بن عبد الرحمن	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00396	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$319505302366$# $$$	قادر الجيلي وهذا شيء لا يعتمده أهل الحديث . ###$319505302366$# $$$ إبراهيم السنهوري المالكي . مضى في الملقبين ب	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00407	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$496840475517$# $$$	تعالى وأعاد علي من بركته والله تعالى أعلم . ###$496840475517$# $$$ إبراهيم الفرنوي أحد الكتاب . في ابن يوسف بن	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00408c	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$284218622852$# $$$	إبراهيم بن موسى بن بلال المقرى . ###$284218622852$# $$$ إبراهيم الكلبشي . في ابن محمد .	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00409	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$581158568836$# $$$	القادري في ابتدائه وما علمت شيئا من خبره . ###$581158568836$# $$$ إبراهيم المتبولي . هو ابن علي بن عمر .	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00410a	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$343983260557$# $$$	الله بن عمر بن داود وهو ابن محمد بن راشد . ###$343983260557$# $$$ إبراهيم الناجي . في ابن محمد بن محمود .	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00413	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$273682531221$# $$$	ادي عشر المحرم سنة ثلاث وتسعين وكان شريرا . ###$273682531221$# $$$ اجترك القاسمي في مشترك .	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00514	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$868023796832$# $$$	القضاء ، وبالجملة فهو خفيف مع فضيلة . مات . ###$868023796832$# $$$ أحمد بن أحمد بن محمد بن علي بن أبي بكر بن أي	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00521	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$756614693985$# $$$	التي تليها وممن قرأ عنده نور الدين السروي . ###$756614693985$# $$$ أحمد بن أحمد بن محمد شهاب الدين الطولوني كبي	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00529	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$713165898875$# $$$	المقادسة ومعيد المعظمية . ومات سنة اثنتين . ###$713165898875$# $$$ أحمد بن أحمد الحنبلي بن الضياء ، مضى فيمن اس	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00534	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$814995211398$# $$$	أحباس البدر العيني ، قاله شيخنا في أنبائه . ###$814995211398$# $$$ أحمد بن أبي أحمد شهاب الدين المغراوي المالكي	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00536	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$579883500680$# $$$	له على خيره ودينه . قاله شيخنا في الأنباء . ###$579883500680$# $$$ أحمد بن أبي أحمد الزاهد . في ابن محمد بن سلي	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00536	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$677552063623$# $$$	ن أبي أحمد الزاهد . في ابن محمد بن سليمان . ###$677552063623$# $$$ أحمد بن أرسلان بن عباد السفطي . يأتي في ابن	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00540	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	ممن هو دون طبقته راغبا في الفائدة ولو من آحاد±±± الطلبة سريع التقييد لذلك للخوف من تفلته مبال	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00560	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$626641601721$# $$$	الأبشيطي الماضي في اسمه واسم أبيه ونسبته . ###$626641601721$# $$$ أحمد بن اقبرص . مضى في ابن آق برص بمهملتين .	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00580	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	سب بالنساخة الجيدة مع مزيد فاقته وكثرة أخلافه±±± وعدم موافاته في الكتابة ولولا ذلك لكان غنيا	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00589	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$459020436725$# $$$	وممن ذكره شيخنا في أنبائه وابن فهد وآخرون . ###$459020436725$# $$$ أحمد بن أبي بكر بن سراج البابي . فيمن جده عل	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00611	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$311716480300$# $$$	بن محمد إذ الرداد ليس اسم أب له بل هو لقب . ###$311716480300$# $$$ أحمد بن أبي بكر بن محمد بن عثمان بن أحمد بن	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00616	ELLIPSIS	原文の欠落（lacuna）	○	...	افعي في المنام وسأله عن بعض المسائل . مات في ... وستين رحمه الله .	欠落部は情報なしとして扱い、該当要素を立てずに作業する。
AIND-D00633	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$247015146843$# $$$	عالى يلهمه الخير وينفعه وينفع به المسلمين . ###$247015146843$# $$$ أحمد بن تقي المالكي . هو ابن محمد بن أحمد بن	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00633	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$883714688348$# $$$	المالكي . هو ابن محمد بن أحمد بن علي يأتي . ###$883714688348$# $$$ أحمد بن تميم . هو ابن علي بن يحيى بن تميم يأ	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00641	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$657113220451$# $$$	عاء مستهل صفر سنة ثلاث وخمسين عن سبع سنين . ###$657113220451$# $$$ أحمد بن أبي جعفر . في ابن محمد بن أحمد بن عم	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00641	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$308965016935$# $$$	حمد بن عمر بن الضياء محمد بن عثمان الحلبي . ###$308965016935$# $$$ أحمد بن جلال . في يعقوب بن جلال بن أحمد بن ي	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00645	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$617120531821$# $$$	تنزل في جهات وقررت له مرتبات سوى الهوائي . ###$617120531821$# $$$ أحمد بن حامد . هو ابن محمد بن محمد بن حامد .	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00646	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	بداني وابن خطيب يبرود والشمس الموصلي والعنابي±±± وسمع من العماد بن السيرجي وابن النجم وابن أم	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00675	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$257941308831$# $$$	وثلاثين ودفن بحوش سعيد السعداء رحمه الله . ###$257941308831$# $$$ أحمد بن حسن البطائحي . مضى فيمن جده محمد بن	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00680	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$396051350955$# $$$	تابة على ابن سعد الدين وغيره وحج غير مرة . ###$396051350955$# $$$ أحمد بن الحسن العباسي الحنبلي . مضى فيمن جده	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00684	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	ن نحو سبعين سنة وكان بسبب تجرئه ينسب إلى نففن±±± ورد ما نسب إليه من التشيع وأنه كان من خيار ا	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00696	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$154870482376$# $$$	آن بطيبة على خير وانجماع وتقلل ونعم الرجل . ###$154870482376$# $$$ أحمد بن حسين بن محمد بن سليمان بن محمد البظا	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00699	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$763816314319$# $$$	وقد %~% رحمه الله . وذكره ابن فهد مطولا . ###$763816314319$# $$$ أحمد بن حسين بن محمد . في أحمد القزويني من آ	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00732	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$216648386078$# $$$	زهري الماضي . مات في فتنة التتار سنة ثلاث . ###$216648386078$# $$$ أحمد بن رسلان . هو ابن الحسين بن الحسن بن عل	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00737	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$871152748077$# $$$	لله الحسناوي وله ذكر في أبي الفضل البجائي . ###$871152748077$# $$$ أحمد بن الزين الوالي . يأتي في ابن عمر .	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00744a	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$969328821822$# $$$	أحمد بن سعد الدين . في بدلاي ###$969328821822$# $$$ أحمد بن أبي السعود . في ابن إسماعيل بن إبراه	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00763	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$835245311589$# $$$	ي وهذا لو صح لم يكن بقادح فيه والله حسيبه . ###$835245311589$# $$$ أحمد بن سليمان الهندي . يأتي في مكي .	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00769	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$746418341488$# $$$	وكان مع فضيلته صالحا رحمه الله ونفعنا به . ###$746418341488$# $$$ أحمد بن الشريفة . هو ابن محمد بن محمد بن يعق	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00772	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$215595615862$# $$$	في المحرم سنة إحدى . ذكره شيخنا في أنبائه . ###$215595615862$# $$$ أحمد بن شعيب . في ابن محمد بن شعيب . يأتي .	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00772	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$419870803575$# $$$	أحمد بن شعيب . في ابن محمد بن شعيب . يأتي . ###$419870803575$# $$$ أحمد بن سكر ويدعى بدير يأتي في الموحدة .	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00777	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$347867186818$# $$$	على نسخة معه بالمنهاج إجازة وهو شيخ مبارك . ###$347867186818$# $$$ أحمد بن صالح بن تاج الدين الشهاب المحلى خطيب	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00780	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$499231229578$# $$$	ه وسمع مني بمكة ثم سافر إلى مندوه للمعيشة . ###$499231229578$# $$$ أحمد بن صالح بن محمد بن محمد بن أبي السفاح .	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00781	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	وذكر لي ولده وهو من النجباء أن مولد والده ومض±±± ، وقال غيره أنه جاز الثمانين رحمه الله . ##	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00781	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$870594905740$# $$$	±± ، وقال غيره أنه جاز الثمانين رحمه الله . ###$870594905740$# $$$ أحمد بن صالح الشاعر . هو ابن محمد بن صالح يأ	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00781	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$173421889173$# $$$	بن صالح الشاعر . هو ابن محمد بن صالح يأتي . ###$173421889173$# $$$ أحمد بن ططر . كذا رأيته بهامش نسختي من الأنب	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00781	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$170896918159$# $$$	د بن ططر . كذا رأيته بهامش نسختي من الأنباء ###$170896918159$# $$$ أحمد بن صحصاح بمهملات يأتي في ابن محمد بن مح	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00784	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$611508553362$# $$$	. ذكره شيخنا في أنبائه والمقريزي في عقوده . ###$611508553362$# $$$ أحمد بن الصلاح هو بن محمد بن محمد بن عثمان ب	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00792	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$562506499749$# $$$	سبط الزبيري في الاكتفاء للكلاعي سنة عشرين . ###$562506499749$# $$$ أحمد بن عاشر . هو ابن قاسم بن أحمد . يأتي .	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00797	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$496542680747$# $$$	ين أرخه سنة سبع وخمسين رحمه الله وعفا عنه . ###$496542680747$# $$$ أحمد بن عبادة . يأتي في ابن محمد بن محمد بن	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00803	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$101560878769$# $$$	يوخه . ذكره التقي بن فهد في معجمه ولم يزد . ###$101560878769$# $$$ أحمد بن عبد الحميد المالكي . في ابن يوسف بن	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00810	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	قاق ابن الجوخي أخبرتنا به زينب ابنة مكي بمندة±±± ، قال ابن ناصر الدين وكان والده من الثقات ،	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00821	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	ك في بيت ابن البارزي وشيخنا ابن خضر والفرباني±±± بل وحضر دروسه الشهاب بن المجدي وتنزل في صوفي	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00824	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$282549290706$# $$$	لثلاثاء في جمادى الثانية سنة ثلاث وأربعين . ###$282549290706$# $$$ أحمد بن عبد الرحمن بن عبد الناصر الزبيري . ي	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00833	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$679129122529$# $$$	فكانت المنية سنة ثلاث وسبعين عفا الله عنه . ###$679129122529$# $$$ أحمد بن عبد الرحمن بن الشيخ محمد بن حسن أبو	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00840	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$100038346482$# $$$	الناظر الحنبلي . فيمن جده أحمد بن إسماعيل . ###$100038346482$# $$$ أحمد بن عبد الرحمن بن العلامة جمال الدين بن	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00861	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$276308166441$# $$$	اسن وبسط في الكلام مدحا وقدحا كان الله له . ###$276308166441$# $$$ أحمد بن عبد العزيز الشيفكي ثم الشيرازي . مضى	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00863	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$986428999469$# $$$	ة سبع وخمسين ونقل فدفن بمدفنهم من المدرسة . ###$986428999469$# $$$ أحمد بن عبد القادر بن إبراهيم الصدر أبو البر	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00878	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	اللطيف بن علي الشريف الشهاب بن الكمال المحرنق±±± . مات في يوم الجمعة ثالث عشر ربيع الأول سنة	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00882	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$569309661013$# $$$	الضياء وحدث سمع منه ابن فهد وغيره . ومات . ###$569309661013$# $$$ أحمد بن عبد الله بن أحمد بن عبد الله الشهاب	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00883	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$938148366159$# $$$	ربيع الأول سنة ست وعشرين بعد ضعف شديد مدة . ###$938148366159$# $$$ أحمد بن عبد الله بن أحمد اليرتقي . في ابن مح	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
