Arabic	Latin	ID	Note	修正・調整
شيخ السفل	Shaykh al-Sufl	TMP-O-00142	出現: D03329(شكم المكي شيخ للسفل)。語義(メッカ下層民の長か下部地区の長か)=要判断B35-38 §D-1	B35新規発行
فقيه المالكية	Faqīh al-Mālikiyya	TMP-O-00143	出現: D03360(فقيه المالكية بالتكرور)。共同体付き法学者職(فقيه الزيدية=D05133と同構文)	B35新規発行
أمير المدينة	Amīr al-Madīna	TMP-O-00144	出現: D02545(وليها بعد أبيه)。マディーナのアミール職(D03036・D02185帯ほか頻出職)	B36新規発行
صاحب حصن كيفا	Ṣāḥib Ḥiṣn Kayfā	TMP-O-00145	出現: D02559(صاحب مدينة حصن كيفا、アイユーブ朝ヒスン・カイファー君主位)。O-00137(صاحب شماخي)と同型	B36新規発行
رئيس الأجواق	Raʾīs al-Ajwāq	TMP-O-00146	出現: D02578(كان يقرأ الأجواق رياسة)。合同読誦(アジュワーク)の首席読誦者	B36新規発行
متكلم عن الوزير والسلطان	Mutakallim ʿan al-wazīr wa-l-sulṭān	TMP-O-00147	出現: D02657(كان يتكلم في الحيرة ونواحيها عن الوزير والسلطان)。地方における政庁代言人	B38新規発行
دار الضرب	Dār al-Ḍarb	TMP-I-00081	出現: D03322(بواب دار الضرب)。カイロの造幣所。corpus他所にも頻出(L39526/L88171ほか)	B35新規発行
رباط الموفق	Ribāṭ al-Muwaffaq	TMP-I-00082	出現: D03353(فهرس كتب رباط الموفق بمكة سنة878)。メッカのリバート	B35新規発行
مدرسة العيني	Madrasat al-ʿAynī	TMP-I-00083	出現: D02659(استقر به إمام مدرسته)。カイロのバドル・アイニー(wd:Q257745)のマドラサ	B38新規発行
جامع الظاهر	Jāmiʿ al-Ẓāhir	TMP-I-00084	出現: D02659(تدريس الحنفية بجامع الظاهر)。カイロのザーヒル・モスク	B38新規発行
حصن كيفا	Ḥiṣn Kayfā	TMP-L-00173	出現: D02559。ヒスン・カイファー(現Hasankeyf、トルコ)。wd:Q756957=実照合済・gnはWebSearchで特定不可のため未付与。既存L-00057(الحصن)との異同=要判断B35-38 §D-5	B36新規発行
منية بدران	Minyat Badrān	TMP-L-00174	出現: D02582(مات بمنية بدران)。エジプトの村(D07361「بمنية بدران جوار المنزلة」)。gn未特定	B36新規発行
الجزيرة القبلية	al-Jazīra al-Qibliyya	TMP-L-00175	出現: D02611(قضاء الجزيرة القبلية لتونس)。ハフス朝チュニスの南部管区	B37新規発行
باجة	Bāja	TMP-L-00176	出現: D02611(قضاء باجة)。チュニジアのベジャ(Béja)。wd:Q814982=実照合済・gnはWebSearchで特定不可のため未付与	B37新規発行
فيشا	Fīshā	TMP-L-00177	出現: D03300(بني عباس شيوخ فيشا)。エジプトの村。gn未特定	B38新規発行
اختلاف الحديث للشافعي	Ikhtilāf al-Ḥadīth li-l-Shāfiʿī	TMP-T-00118	出現: D03356(سمع اختلاف الحديث للشافعي بقراءتي)。シャーフィイー著	B35新規発行
المشكاة	al-Mishkāt	TMP-T-00119	出現: D02596(قرأ علي في المشكاة)。おそらくمشكاة المصابيح(タブリーズィー)=要確認	B36新規発行
هدية الناصح	Hadiyyat al-Nāṣiḥ	TMP-T-00120	出現: D02633(قرأ القرآن وهدية الناصح)	B37新規発行
البهجة	al-Bahja	TMP-T-00121	出現: D02649(حفظ البهجة والألفية)。おそらくالبهجة الوردية(ابن الوردي、シャーフィイー派法学詩)=要確認	B38新規発行
أذرعات	Adhriʿāt	gn:170905	Darʿā(シリア)。WebSearch実照合済(geonames.org/170905/dar-a)。出現: D02588(قاضي أذرعات)	B37確定
بيروت	Bayrūt	gn:276781	Beirut。既知IDの実使用確認。出現: D02542(نزيل بيروت)	B36確定
وزير	Wazīr	wd:Q175240	vizier。WebSearch実照合済。出現: D03352(初版付与の検証)	B35確定
تاجر	Tājir	wd:Q215536	merchant。WebSearch実照合済。出現: D02558/D02603(初版付与の検証)	B36確定
