file	subtype	desc	verdict	id_or_new	arabic_canonical	latin	note_for_idmaster	evidence	confidence	group
AIND-D03791	father	محمد بن محمد	NEW	TMP-P-000861(新規提案)	محمد بن محمد بن عبد الرحمن بن عمر بن إبراهيم الأسدي الدمشقي الشافعي (ابن الجاموس)	Muḥammad b. Muḥammad b. ʿAbd al-Raḥmān b. ʿUmar b. Ibrāhīm al-Asadī al-Dimashqī al-Shāfiʿī (Ibn al-Jāmūs)	出現項: D03791（父）。ダマスカスの証人（شاهد）で、子 الزين عبد الرحمن（#AIND-D03791、没873）も「وكان كأبيه أحد شهود دمشق」と同職。孫 عمر=#AIND-D05862。家名 ابن الجاموس。corpus に本伝なし。	corpus 見出し検索「محمد بن محمد بن عبد الرحمن بن عمر بن إبراهيم」＝ D03791・D05862（いずれも子孫）のみで本人見出しなし	H	
AIND-D03795	father	البهاء محمد بن المحب محمد	AIND:#AIND-D08970	AIND-D08970				corpus 見出し #AIND-D08970「$ 420 محمد بن محمد بن علي بن يوسف البهاء أبو البقاء بن المحب الأنصاري الزرندي المدني قاضيها الشافعي أخو عمر الماضي وهذا الأكبر … ولي قضاء المدينة وإمامتها وخطابتها في سنة تسع وثمانمائة」。本項主 D03795「عبد الرحمن بن البهاء محمد بن المحب محمد بن علي بن يوسف الزرندي المدني」とラカブ（البهاء／المحب）・ナサブが完全一致	H	
AIND-D03889	father	أبو الهدى بن محمد بن تقي الكازروني المدني	NEW	TMP-P-000862(新規提案)	أبو الهدى بن محمد بن تقي بن محمد بن روزبة الكازروني المدني	Abū al-Hudā b. Muḥammad b. Taqī b. Muḥammad b. Rūzbah al-Kāzarūnī al-Madanī	出現項: D03889（父）。マディーナのカーザルーニー家。子は عبد الرحيم=#AIND-D03889、محمد=#AIND-D09503、أبو البركات（#AIND-D10616 の父）。孫 عبد الله=#AIND-D04494 のナサブ「عبد الله بن عبد الوهاب بن أبي البركات بن أبي الهدى بن محمد بن تقي بن محمد بن روزبة」から完全形を復元。#AIND-D00231 に「سبط أبي الهدى بن تقي الكازروني」。corpus に本伝なし（كنى 部にも「أبو الهدى」で始まる見出しなし）。	corpus 見出し #AIND-D04494「$ 113 عبد الله بن عبد الوهاب بن أبي البركات بن أبي الهدى بن محمد بن تقي بن محمد بن روزبة عفيف الدين وجمال الدين أبو محمد بن التاج الكازروني المدني الشافعي」／كنى 部に「أبو الهدى…」の見出し0件	H	KAZARUNI-ABUHUDA
AIND-D03890	father	محيي الدين بن الجيعان	NEW	TMP-P-000863(新規提案)	محيي الدين بن الجيعان	Muḥyī al-Dīn b. al-Jīʿān	出現項: D03890（父）。カイロの官僚一族イブン・アル＝ジーアーン家。ビーマーリスターン（病院）等の استيفاء 職を帯び、子 عبد الرحيم=#AIND-D03890 が没後に継承（没855、その後 الزين عبد الباسط بن العلمي が継ぐ）。العلمي شاكر（#AIND-D03270）の従兄弟。corpus に本伝なし。⚠既登録 TMP-P-000513「تاج الدين بن عبد الغني ابن الجيعان」とは別人。	corpus 見出し「محيي الدين …」で始まる項は #AIND-D11149（ابن الفاوي、別人）のみ。D03890 原文「عبد الرحيم بن محيي الدين بن الجيعان وأبوه ابن عم العلمي شاكر . باشر بعد والده استيفاء البيمارستان وغيره من وظائفه」	H	JIAAN
AIND-D03929	brother	أبو الخير محمد الكازروني	AIND:#AIND-D10946	AIND-D10946				corpus 見出し #AIND-D10946「$ 316 أبو الخير ويسمى محمد بن محمد بن أبي الخير محمد بن علي بن عبد الله ابن علي بن محمد بن عبد السلام بن أبي المعالي بن أبي الخير بن ذاكر بن أحمد ابن الحسن الفارسي الكازروني الأصل المكي رئيس المؤذنين بالمسجد الحرام ويعرف بابن أبي الخير . ولد في ثاني عشرى شعبان سنة تسع وعشرين وثمانمائة بمكة」。本項主 D03929「عبد السلام بن محمد بن أبي الخير محمد بن علي بن عبد الله بن علي ابن عبد السلام … أخو أبي الخير الكازروني المكي」とナサブ完全一致、かつ #AIND-D11238「… ثم خلفه ابناه عبد السلام وأبو الخير محمد ثم استقل ثانيهما」と職の継承も一致。B64-67 欠番WL を撤回	H	KAZARUNI-MUADHDHIN
AIND-D03929	father	محمد بن أبي الخير محمد بن علي رئيس المؤذنين بالمسجد الحرام	NEW	TMP-P-000864(新規提案)	محمد بن أبي الخير محمد بن علي بن عبد الله بن علي بن محمد بن عبد السلام الكازروني المكي رئيس المؤذنين بالمسجد الحرام	Muḥammad b. Abī al-Khayr Muḥammad b. ʿAlī b. ʿAbd Allāh b. ʿAlī b. Muḥammad b. ʿAbd al-Salām al-Kāzarūnī al-Makkī, raʾīs al-muʾadhdhinīn bi-l-Masjid al-Ḥarām	出現項: D03929（父）。マスジド・ハラームのムアッズィン長（رئيس المؤذنين＝TMP-O-00090）。857年に子 عبد السلام（#AIND-D03929）が後任、のち أبو الخير محمد（#AIND-D10946）が単独就任。ニスバ索引 #AIND-D11238 に一族の職の継承が記される。corpus に本伝なし。	corpus ニスバ索引 #AIND-D11238「$ رئيس المؤذنين محمد بن أبي الخير محمد بن علي بن عبد الله بن علي بن محمد بن عبد السلام ثم خلفه ابناه عبد السلام وأبو الخير محمد …」／「محمد بن أبي الخير محمد …」で始まる本伝見出しは0件	H	KAZARUNI-MUADHDHIN
AIND-D03942	father	عبد الرحمن بن مسعود سعد الدين	NEW	TMP-P-000865(新規提案)	سعد الدين عبد الرحمن بن مسعود الشيرازي	Saʿd al-Dīn ʿAbd al-Raḥmān b. Masʿūd al-Shīrāzī	出現項: D03942（父）。シーラーズのイブン・アッ＝サドル家。828年の سماع 記録で「القارئ」と評される。子 عبد الصمد روح الدين=#AIND-D03942（「المحدث العالم」）、父 مسعود الصدر=TMP-P-000866(提案)。corpus に本伝なし。初版の幻番号 TMP-P-000000 を置換。	corpus 見出し「عبد الرحمن بن مسعود …」で始まる項は0件。D03942 原文「عبد الصمد بن عبد الرحمن بن مسعود روح الدين بن سعد الدين ابن الصدر الشيرازي … ووصف صاحب الترجمة بالمحدث العالم ووالده بالقارىء وجده باستاذنا في كلام الله」	H	SHIRAZI-SADR
AIND-D03942	grandfather	مسعود الصدر	NEW	TMP-P-000866(新規提案)	الصدر مسعود الشيرازي	al-Ṣadr Masʿūd al-Shīrāzī	出現項: D03942（祖父）。シーラーズのイブン・アッ＝サドル家の祖。828年の سماع 記録で「أستاذنا في كلام الله」（クルアーン学の師）と評される。子 سعد الدين عبد الرحمن=TMP-P-000865(提案)、孫 عبد الصمد=#AIND-D03942。corpus に本伝なし。初版の幻番号 TMP-P-000000 を置換。	corpus 見出し「مسعود بن …」13件を確認したがシーラーズのالصدر家に該当なし（D09914-D09919 ほか）。D03942 原文「… وجده باستاذنا في كلام الله」	H	SHIRAZI-SADR
AIND-D03948	nisbah	الوادي	NISBAH	TMP-N-05507(新規提案)	الوادي	al-Wādī	ニスバ。出現: D03948（عبد الصمد الوادي التازفي）。ID-Master に الوادي の登録なし（既存 TMP-N-00522 الوادياشي は別ニスبة、التازفي は TMP-N-03854 で登録済）。	corpus D03948 見出し「$ عبد الصمد الوادي التازفي .」（本項は一行項で他情報なし）	M	
AIND-D03962	father	إسحاق الفراش بمكة	AIND:#AIND-D01899	AIND-D01899				corpus 見出し #AIND-D01899「$ 875 إسحاق بن عبد الله بن بلال الفراش بمكة أخو أحمد الماضي ومحمد وقريب أحمد بن عبد الله بن محمد بن عبد الله بن بلال الماضي .」。本項主 D03962「عبد العزيز بن إسحاق بن الفراش بمكة . مات بها في جمادى الثانية سنة ست وستين」と父の名・職（メッカの فراش）・地が一致。corpus に「الفراش بمكة」と形容される إسحاق は他にない	H	
AIND-D03982	father	علي بن محمد بن محمود بن فرحون المجلد	NEW	TMP-P-000867(新規提案)	علي بن محمد بن محمود بن فرحون اليعمري المدني المالكي المجلد	ʿAlī b. Muḥammad b. Maḥmūd b. Farḥūn al-Yaʿmarī al-Madanī al-Mālikī al-Mujallid	出現項: D03982（父）。マディーナのイブン・ファルフーン家（اليعمري المدني المالكي）の傍系で、製本職（مجلد）。子 عبد العزيز العز=#AIND-D03982 も同職（「ويعرف بالمجلد وهي حرفته وحرفة أبيه」）。corpus に本伝なし。	corpus 見出し「علي بن محمد بن محمود …」＝ D05577（ابن حميدان）・D05578（بن عادل）・D05579（الرميني）の3件で、いずれも別人。D03982 原文「عبد العزيز بن علي بن محمد بن محمود بن العلامة نور الدين علي بن فرحون العز اليعمري المدني المالكي ويعرف بالمجلد وهي حرفته وحرفة أبيه」	H	
AIND-D03993	father	الجمال محمد بن الزين عبد العزيز بن عبد الواحد الأنصاري المدني	AIND:#AIND-D07676	AIND-D07676				corpus 見出し #AIND-D07676「$ 95 محمد بن عبد العزيز بن عبد الواحد بن عياذ بتحتانية الإمام الأوحد كمال الدين الأنصاري المدني المالكي والد حسين الماضي」。ナサブ（محمد بن عبد العزيز بن عبد الواحد الأنصاري المدني）が本項主 D03993 の父と一致し、マディーナの بنو عياد 家で同族（D03993 は「ابن عم حسن بن عمر بن عبد الواحد」、#AIND-D02744 は「الماضى ابن عمه حسن بن عمر بن عبد العزيز」）。⚠ラカブが原文では الجمال、D07676 では كمال الدين（جمال／كمال の写本異同の可能性）、また D07676 は المالكي と明記される一方 D03993 は法学派記載なし。同定は高い蓋然性だが確定ではない	M	ANSARI-IYAD
AIND-D03998	father	أبو البركات محمد بن علي بن أحمد بن عبد العزيز النويري	AIND:#AIND-D07994	AIND-D07994				D03774 と同一人物。corpus 見出し #AIND-D07994「محمد الكمال أبو البركات الحنفي أخو اللذين قبله وشقيق ثانيهما . ولد في سنة خمس وثمانين وسبعمائة أو التي بعدها بمكة」＋直前項 #AIND-D07992 のナサブ「محمد بن علي بن أحمد بن عبد العزيز … النويري ثم المكي」。子 #AIND-D08913（生824）・#AIND-D04189（生829、「بن الكمال أبي البركات … الحنفي」）・本項主（生831）と年代整合	H	NUWAYRI-ABUBARAKAT
AIND-D03998	mother	أم الخير ابنة علي بن عبد اللطيف بن سالم	NEW	TMP-P-000868(新規提案)	أم الخير ابنة علي بن عبد اللطيف بن سالم الزبيدي	Umm al-Khayr bt. ʿAlī b. ʿAbd al-Laṭīf b. Sālim al-Zabīdī	出現項: D03998（母）・D08914（母）。ヌワイリー家 الكمال أبو البركات（#AIND-D07994）の妻で、عبد العزيز（#AIND-D03998、生831）と الكمال أبو الفضل محمد（#AIND-D08914、生837、没871ダマスカス）の母。ザビード出身（الزبيدي）。corpus 女性部（أم الخير の項 D13735-D13754）に立項なし。	corpus #AIND-D08914「$ 363 محمد الكمال أبو الفضل أخو الذي قبله . ولد سنة سبع وثلاثين وأمه أم الخير ابنة علي بن عبد اللطيف بن سالم الزبيدي」／女性部の أم الخير 20項を全走査し該当なし	H	NUWAYRI-ABUBARAKAT
AIND-D04000	father	محمد بن علي بن محمد المحلي السمنودي قاضي سمنود	NEW	TMP-P-000869(新規提案)	محمد بن علي بن محمد بن علي بن أحمد المحلي السمنودي الشافعي قاضي سمنود	Muḥammad b. ʿAlī b. Muḥammad b. ʿAlī b. Aḥmad al-Maḥallī al-Samannūdī al-Shāfiʿī, qāḍī Samannūd	出現項: D04000（父）。サマンヌード（TMP-L-00226）のカーディー。子 عبد العزيز عز الدين（#AIND-D04000）が「ولي كأبيه قضاء سمنود وعملها」と父の職を継ぐ。corpus に本伝なし。初版の TMP-P-000529（汎用「محمد」＝別人登録）の流用を解消。	corpus 見出し検索「محمد بن علي بن محمد بن علي بن أحمد」＝ D04000（子の項）1件のみ。D04000 原文「عبد العزيز بن محمد بن علي بن محمد بن علي بن أحمد عز الدين المحلي السمنودي الشافعي … وولي كأبيه قضاء سمنود وعملها」	H	
AIND-D04013	brother-in-law	تغري بردى الاستادار	AIND:#AIND-D02273	AIND-D02273				corpus 見出し #AIND-D02273「$ 141 تغرى بردي من يلباي الظاهري القادري الحنفي الخازنداري بل الاستادار . ولد تقريبا قبيل الثلاثين وثمانمائة …」。本文「وصحب الاشراف القادرية وخدمهم … وتزوج منهم واحدة بعد أخرى」＝カーディリー家のシャリーフ女性と婚姻を重ねた。本項主 D04013 は「عبد العزيز بن محمد بن موسى … الشريف القادري … وهو أخو زوج تغري بردى الاستادار」＝妻の兄弟。父 #AIND-D09473「محمد الشمس القادري … ووالد عبد العزيز الماضي … بعناية صهره تغرى بردى الأستادار」がتغري بردي を صهر と呼び整合。B64-67 欠番WL を撤回	H	TAGHRIBIRDI
AIND-D04021	nisbah	الوريا علي	NISBAH	TMP-N-05508(新規提案)	الوريا علي	al-Wuryā ʿAlī	ニスバ（要検討）。出現: D04021「عبد العزيز بن موسى الخطيب أبو محمد الوريا علي الفاسي خطيب جامع القرويين」。マグリブ（フェズ）の人物で、「الوريا علي」は綴りが不安定な地名系ニスバと見られる。ID-Master に該当登録なし。⚠原文の転写誤り／別語の可能性があり、確定前に底本の再確認が必要。	corpus D04021 見出し「$ 610 عبد العزيز بن موسى الخطيب أبو محمد الوريا علي الفاسي خطيب جامع القرويين . مات في رمضان سنة ثمانين ومولده سنة ثلاث عشرة」。「الوريا」の corpus 他所ヒット0件、ID-Master ヒット0件	L	
AIND-D04028	patron	خشقدم الزمام	AIND:#AIND-D02831	AIND-D02831				corpus 見出し #AIND-D02831「$ خشقدم الظاهري جقمق الرومي اللالا ويقال له أيضا الاحمدي لتاجره … وترقى حتى عمل وزيرا بمشارفة قاسم شغيتة في نظر الدولة … إلى أن استقر خازندارا زماما بعد موت جوهر شراقطلي في ربيع الأول سنة اثنتين وثمانين」（没894スアーキン）。同定根拠(1) #AIND-D06210（قاسم شغيتة）本文「ثم تعين خشقدم الزمام وباشرا … وكان بينهما من المرافعات والأنكاد ما يطول شرحه」＝D02831 の「بمشارفة قاسم شغيتة」と対応。(2) #AIND-D05676「شيخ الصوفية بمدرسة خشقدم الزمام بنواحي الرميلة」＝D02831 の「وعمل أحد قاعاته بالقرب من درب الرملة جامعا」と対応。本項主 D04028 の没年892/893 とも同時代で整合（⚠もう一人の خشقدم الزمام＝#AIND-D02829 は没839 で世代が合わない）。B64-67 欠番WL を撤回	H	KHUSHQADAM
AIND-D04031	father	أحمد البلقيني الخطيب	NEW	TMP-P-000870(新規提案)	أحمد البلقيني الخطيب	Aḥmad al-Bulqīnī al-Khaṭīb	出現項: D04031（父）。ビルキーナ（بلقينة）のハティーブ。子 عبد العظيم（#AIND-D04031）はカイロで絹取引に従事し、جامع الغمري で無給のムアッズィンを務めた。corpus に本伝なし。⚠著名なバルキーニー家（السراج البلقيني 系）とは別系統である可能性が高い。	corpus 全文「أحمد البلقيني」（見出し）ヒットは D04031 の1件のみ。D04031 原文「عبد العظيم بن أحمد البلقيني الخطيب أبوه . كان بها ممن سمع مني …」	M	
AIND-D04032		قيزطوغان العلائي	AIND:#AIND-D03438	AIND-D03438				corpus 見出し #AIND-D03438「$ 38 طوغان قيز العلائي علان أحد المقدمين في الدولة الناصرية . ترقى بعده حتى صار في الدولة المؤيدية رأس نوبة الجمدارية ثم أمره الظاهر جقمق عشرة ثم عمله أميرآخور ثالث ثم استادارا بعد الناصري محمد بن أبي الفرج سنة أربع وأربعين」。本項主 D04032 原文「انتمى الآخر لقيزطوغان لما ولي الاستادارية واستقر في نظر المفرد … وسلم لقيز ثم لأبن كاتب المناخات في سنة أربع وأربعين」＝844年のウスターダール就任が一致、ニスバ العلائي も一致（語順 طوغان قيز／قيزطوغان の転倒のみ）	H	
AIND-D04040	father	عبد الرحيم بن الزكي أبي بكر بن عمر بن يوسف الميدومي	NEW	TMP-P-000871(新規提案)	عبد الرحيم بن الزكي أبي بكر بن عمر بن يوسف القرشي العبدري الميدومي الأصل المصري	ʿAbd al-Raḥīm b. al-Zakī Abī Bakr b. ʿUmar b. Yūsuf al-Qurashī al-ʿAbdarī al-Maydūmī al-Miṣrī	出現項: D04040（父）。ミードゥーム出身のミスル（フスタート）の家系。兄弟が الشهاب أحمد بن أبي بكر بن عمر بن يوسف الميدومي=#AIND-D00606（本項主 D04040 は「ابن أخي الشهاب أحمد الماضي」）、父は الزكي أبو بكر。子 عبد الغفار التاج أبو الخير=#AIND-D04040（ミスルの副カーディー、أمين الحكم）。corpus に本伝なし。⚠既登録 TMP-P-000173「الصدر الميدومي」（8世紀の伝承者）とは別人。	corpus 見出し「عبد الرحيم بن أبي بكر …」＝ D03857（المناوي）・D03858（الحموي）の2件でいずれも別人。#AIND-D00606「أحمد بن أبي بكر بن عمر بن يوسف الشهاب بن الزكي القرشي العبدري الميدومي الأصل المصري الشافعي الآتي أبوه ويعرف بالميدومي」（＝伯父）	H	
AIND-D04045	father	التاج محمد الكلبشاوي	NEW	TMP-P-000872(新規提案)	التاج محمد الكلبشاوي قاضي كلبشا وخطيبها	al-Tāj Muḥammad al-Kalbashāwī, qāḍī Kalbashā wa-khaṭībuhā	出現項: D04045（父）。ガルビーヤ地方 كلبشا（مليج 近郊）のカーディー兼ハティーブ。子 إبراهيم と عبد الغفار（#AIND-D04045）が相次いで同職を継ぐ（「خلف أخاه في قضاء بلده وخطابتها كأبيهما وجدهما」）。祖父も同職だが名は不詳。corpus に本伝なし。	corpus ニスバ索引 #AIND-D11972「الكلبشاوي بفتح أوله وثالثه بينهما لام ثم معجمة نسبة لكلبشا بجوار مليج من الغربية إبرهيم بن محمد وأخوه عبد الغفار وكانا قاضيين بها كأبيهما وجدهما」／「محمد الكلبشاوي」の本伝見出しなし	H	
AIND-D05622	grandfather	محمد بن أحمد	NEW	TMP-P-000873(新規提案)	محمد بن أحمد الآدمي الدمشقي	Muḥammad b. Aḥmad al-Ādamī al-Dimashqī	出現項: D05622（祖父、索引項）。ダマスカスの ابن الآدمي 家。孫が #AIND-D05543「علي بن محمد بن محمد بن أحمد الصدر أبو الحسن بن الأمير الدمشقي الحنفي ويعرف بابن الآدمي」（生767/768、没816、ダマスカス→カイロのハナフィー派大カーディー）。本人は8世紀の人物と推定され corpus に本伝なし。⚠ナサブのみの汎用名であり、家系（ابن الآدمي الدمشقي）を伴って初めて識別可能。	corpus D05622 見出し「$ علي بن محمد بن الأدمي الحنفي . فيمن اسم جده محمد بن أحمد .」＝索引の相互参照項で、本伝は #AIND-D05543。「محمد بن أحمد … الآدمي الدمشقي」の見出しなし	M	ADAMI
AIND-D05629	grandfather	عبد العلي بن قحر	NEW	TMP-P-000874(新規提案)	عبد العلي بن قحر العكي الزبيدي	ʿAbd al-ʿAlī b. Quḥr al-ʿAkkī al-Zabīdī	出現項: D05629（祖父、索引項）。ザビード（イエメン）の العكي 家。孫が #AIND-D05447「علي بن محمد بن عبد العلي بن فخر … موفق الدين العكي الزبيدي الشافعي」（生758、ザビードのムフティー）。#AIND-D05536 が「قحر بقاف مضمومة ثم حاء مهملة وآخره راء … على أن بعضهم صحفه كالأول」と قحر／فخر の異綴を注記。corpus に本伝なし。	corpus D05629 見出し「$ علي بن محمد الزبيدي الشافعي . فيمن جده عبد العلي بن قحر .」／#AIND-D05536「$ علي بن محمد بن قحر … مضى فيمن جده عبد العلي قحر」／「عبد العلي …」で始まる見出しは0件	H	
AIND-D05630	grandfather	أحمد بن عبد الله بن حسن	NEW	TMP-P-000875(新規提案)	أحمد بن عبد الله بن حسن الهلالي الناصري	Aḥmad b. ʿAbd Allāh b. Ḥasan al-Hilālī al-Nāṣirī	出現項: D05630（祖父、索引項）。孫が #AIND-D05371「علي بن محمد بن أحمد بن عبد الله بن حسن بن محمد بن عبد الله ابن الشيخ أبي عبد الله محمد بن جماعة بن عبد الله الهلالي الناصري السقاء」（السطيح の名で知られる水運び人）。corpus に本伝なし。	corpus D05630 見出し「$ علي بن محمد السطيح . فيمن جده أحمد بن عبد الله بن حسن .」／「أحمد بن عبد الله بن حسن …」で始まる見出しは D00891（العامري الحرضي）・D00894（البوصيري）の2件でいずれも別人	H	
